label,comment_processed
4,外形 外观 好看 云彩 飞扬 屏幕 音效 不错 价位 值得 拍照 效果 清洗 透亮 运行 速度 打开 没有 下载 很多 软件 等待 使用 体验 待机时间 充电 多分钟 充满 
2,外观 行 使用 会有 卡顿 
4,丰常棒 一款 手机 快递 速度 很快 手机 超薄型 外观 美 充电 速度 挺快 爱 美颜 真的 像素 超级 高 拍 好看 爱 价格 方面 美丽 
4,第一次 买 手机 外观 漂亮 做工 不错 显示 效果 面部 识别 很快 适应 一段时间 指纹 位置 高 一点 会 更 顺手 
1,手机 发烫 充电 会 发烫 有点 害怕 
0,垃圾 王者 卡 怀疑 人生 
2,屏幕 偶尔 不灵敏 价钱 运行 速度 屏幕 音效 外形 外观 待机时间 拍照 效果 特色 有待 观察 
4,京东 物流 真 快 晚上 下单 第二天 中午 到货 手机 盒 黑底 金字 很大 气 手机 外观 不错 开机 运行 流畅 双 扬声器 音质 拍 几张 效果 不错 充电 速度 快 不到 小时 充满 游戏 没 玩 以后 评价 
0,差评 第一次 网上 买 失望 听歌 声音 一会 一会 小视频 一会 一会 失望 透 整 心情 没有 听 一直 以前 实体 买 第一次 网上 买 竟然 失望 明 面上 天 换货 实际上 套路 换货 流程 复杂 提供 检测 单 时间 手机 找 地方 检测 直接 实体店 买 干嘛 跑 线 买 售后 麻烦 换货 时间 太长 换回来 手机 说 一定 出毛病 手机 越换 越 严重 毕竟 买 新机 严重 怀疑 买 翻新 机了 本来 心情 不好 换回来 差 简直 糟蹋 心情 以后 再也 不到 网上 买手机 出 问题 想 找 售后 没 办法 出 检测 单 后面 买手机 宝宝 慎重 慎重 慎重 建议 实体 买 主要 放心 
4,正品 实体店 价格 优惠 果断 转粉 宝贝 收到 咯 真的 很棒 质量 真是 没话说 非常 满意 开心 开心 
2,没配 耳机 手机 掉 电量 有点 异常 手机 不到 样 
0,一个月 不到 不到 手机 降 不能 申请 价格 保护 
0,运行 速度 新机 刚 到手 十天 卡机 卡机 死机 智能手机 十年 第一次 买 垃圾 手机 一颗 心 不想 
1,手机 手机 舒服 店铺 售后 太差 两个 同事 最近 京东 买 电器 申请 价保 分钟 弄完 说 需要 赠送 延保 延保 收回 完全 差价 算 讲 半天 退 赠送 延保 一句 每个 店铺 活动 打发 行 赠品 延保 退 退 扣掉 延保 价保 做 整整 一天 没 做好 第二天 催刚 催 完 分钟 做好 分钟 工作量 硬生生 拖 两个 同事 购物 体验 真的 差 
4,手机 算是 非常 流畅 外观 看起来 很漂亮 手感 摸 起来 不错 手机 玩游戏 充电 速度 
2,打游戏 还行 玩盖 中 闪退 无语 
4,手机 外观设计 好看 像素 摄像头 到位 买 父母 父母 喜欢 一直 值得 信赖 
2,手机 没 毛病 买 完 两 星期 降价 
4,发货 速度 快用 天 来件 价 颜色 限 惊艳 非常 漂亮 手机 非常 轻薄 触屏 灵敏 运行 速度 非常 快 内存 非常 玩游戏 传输 文件 一点 不卡 拍照 清晰 自然 名符其实 拍王 一点 夸张 真的 力 非常 喜欢 
4,好看 手机 屏幕 音效 屏幕 好玩 美 符合 审美 拍照 效果 拍照 效果 好像 素 高 运行 速度 运行 流程 不卡 打游戏 无敌 外形 外观 外观 美 尤其 颜色 比较 美丽 
0,非常 不好 一次 购物 体验 活动 说 送 东西 客服 却说 没有 看到 活动 购买 没想到 体验 购买 注意 谨慎 
1,手机 厚 网络 
4,叔叔 过生日 旧 电话 已经 五六年 运行 内存 存储空间 不足 偶然间 看到 手机 运行 内存 加 存储 足够 加上 万 像素 果断 下单 买 外观 非常 漂亮 
0,刚买 降价 答应 赠品 半天 发货 
0,手机 差评 京东 客服 抱歉 买 新手机 下单 京东 拍拍 回收 卖旧 手机 下单 拍拍 回收 明确 上门 取件 并验机 小时 拍拍 回收 发短信 顺丰 寄出 收件 后验机 在线 京东 客服 投诉 重点 京东 客服 答复 管不了 拍拍 回收 拍拍 回收 解决 告诉 接受 不了 取消 订单 京东 不缺 一单 京东 企业 文化 
4,小米 完事 颜值 性价比 价格 买 这种 样子 手机 没什么 满足 京东 速度 很快 一下子 舒服 体验 
1,一把 游戏 烫手 问 客服 说 后台 过多 真的 滴 
4,真 美丽 真 好看 主要 特别 轻 手感 不错 拍照 杠杠 滴 
0,真的 感到 非常 失望 本来 京东 买 东西 会 很多 寄过来 快递 箱子 破烂 说 好多 洞换 一次 接下来 手机 问题 收到 手机 现在 不到 一个月 信号 差不说 通话 声音 还会 时强 时弱 问 客服 客服 回答 声音 会 跟着 信号 变化 变化 信号 这种 东西 本来 时强 时弱 通话 声音 变化 打电话 发 语音 找个 信号 地方 打才行 声音 听 不到 手机 触屏 问题 说 屏幕 太 灵敏 玩游戏 没 松开 技能 键 技能 已经 放 手机卡 不说 毕竟 说 信号 问题 信号 满格 信号 满格 试过 卡得 不要 不要 本来 牌子 挺 看好 真的 非常 差 一次 购物 体验 
4,买 家人 感觉 不错 原力色 拿在手上 非常 舒服 拍照 清晰 充电 飞快 好评 
0,运行 速度 流畅 快速 待机时间 大约 天 左右 特色 今天 赠品 明天 没有 价格 
4,几张 图 
4,手机 一段时间 感觉 挺 
4,老 早就 收到 货 特地 几天 评价 手机 颜值 高 拍照 功能 非常 清晰 运行 速度 快 手机 充电 快 一天 一充 机身 轻薄 不累 手大爱 客服 服务态度 非常 懂 会 耐心 讲 这点 必须 点赞 
0,垃圾 手机 买 一个月 不到 手机 卡 要死 玩 没有 没有 摔 没有 碰 
2,手机 会 过热 现象 开屏 时 界面 模糊 
0,买 半个 月 掉价 不能 申请 保 价差 评 
4,收到 货 之后 立刻 打开 颜值 高 手机 起来 特别 流畅 后续 再来 追评 
4,不错 速度 很快 原来 手机 非常 卡换 新 以后 真的 真的 太 快乐 
4,手机 质量 非常 完全 超出 期望值 发货 速度 非常 快 包装 非常 仔细 严实 满意 一次 购物 
4,外观设计 漂亮 星云 高档 绚丽 一道 彩虹 美丽 无限 竞速 屏 图像 柔和 清晰 流畅 不卡顿 扩展 运存 非常 满意 尺寸 大小 合适 包装 仔细 完整 宝贝 手感 不错 感觉 发货 速度 快 服务态度 一流 力星 好评 
4,一直 买 活动 价格 美丽 发货 速度 贼 快 质量 不错 应该 正品 刚 新机 安装 感觉 有点 发烫 一段时间 效果 
4,机型 好看 运行 神速 
1,联系 买 手机 偶尔 会断 信号 换 一台 频次 少 会 走 拍照 真差 同价位 建议 买红米 
4,目前 没有 问题 作 备用机 银色 泛蓝有 质感 挺 耐看 
1,我刚 买 降价 
4,非常 非常 满意 外形 外观 线条 好看 没有 多余 按键 插孔 屏幕 音效 响亮 杜比 音效 非常 享受 拍照 效果 感觉 运行 速度 
0,两个 月 妈 反应 连不上 上网 速度 贼 慢 气死我了 这是 手机 
0,刚买 手机 卡 动不动 就点 不动 直接 没 反应 
0,外形 外观 拍 华 彩色 收到 原力色 
0,耗电 很快 十分钟 不见 电 
4,老人 方便 
0,手机 使用 发热 太 严重 最差 手机 
4,挺 想象 中 随意 搭 好看 满意 刚好 做 活动 价格便宜 很多 性价比 超高 真的 特别 划算 发货 很快 两三天 颜色 喜欢 性价比 高 非常 
0,差待 电太差 
4,手机 收到 京东 自营 值得 信赖 物流 非常 快 当天 下单 当天 收到 手机 外观 漂亮 一直 手机 购买 非常 满意 操作 起来 非常灵活 值得 拥有 期待 一次 新款 出现 
4,手机 优惠活动 力度 很大 收到 送 耳机 充电 线 手机 手感 屏幕 很大 买 老妈 满意 运行 速度 很快 家里 买个 好几个 手机 京东 购买 保障 手机 内存容量 很大 够用 
0,总断 网 换 电话卡 断 请 不要 购买 买 
2,手机 优化 不够 来电 反机 静音 默认 开启 无法 设置 尺寸 协调 退 
4,发货 时 眼瞎 
2,手机 挺 电池 续航 较差 
4,一直 手机 外形 比较 好看 大小 合适 相机 做 比较 喜欢 款 手机 颜色 屏幕 音效 不错 保 真性 挺 高 运行 起来 很快 充电 速度 真的 特别 快 总体 特别 满意 售后服务 态度 好会 继续 购买 
4,外形 外观 好看 视频 图片 屏幕 音效 拍照 效果 照亮 美 运行 速度 快 待机时间 特色 比较满意 发货 速度 很快 不愧 京东 自营 
4,外形 外观 美观 轻薄 漂亮 屏幕 音效 播放 音乐 拍照 效果 像素 高而 清晰 运行 速度 旗舰机 配制 快 待机时间 暂时 特色 功能齐全 很爽 
4,特意 一段时间 评价 速度 杠杠 反应 灵敏 机身 薄 美观 像素 更是 没得说 
0,手机 定位 太 差 手机 老 说 定位 信号 弱 崩溃 
1,卡顿 
0,众 手机 不能 买 想要 直播 支持 转换器 恼火 屏幕 触摸 不灵敏 
0,不要 打电话 骚扰 电话 送人 
1,卖 几天 降 心里 平衡 
0,确实 买 后悔 买 之前 咨询 赠品 问题 方面 省 后面 凭着 店大欺客 胡作非为 处事 方法 买 知道 
0,外形 外观 刚 打开 包装 摄像头 保护 镜片 掉 京东 货 这么回事 
1,十年 一直 平常 挺 反应迟钝 没 两年 老 手机 反应 快 
4,侄子 买 觊觎 手机 很久 运行 内存 配置 适合 玩 王者 农药 不管三七二十一 小学 刚 毕业 屁孩 其实 提倡 买 新手机 淘汰 机过 过干瘾 我姐 倒 孩子 阔绰 买 新 买 手机 玩 农药 挺 流畅 侄子 拥有 手机 朋友 圈子 一定 地位 说话 硬气 手机 看着 还行 玩腻 我姐 应该 几年 
2,包装 发货 快 服务 手机 外观设计 漂亮 系统 设计 人性化 特别 系统 太 人性化 方格 组成 系统 知道 代表 意思 估计 要用 久 熟悉 好看 屏幕 拍照 效果 
4,爸 买 刷 电池 力 非常 
4,京东 物流 杠杠 当天 下单 当天 送到 期待已久 终于 合适 价格 买 心仪 手机 要说 外观 太空 蓝 搭配 黑 边框 太漂亮 喜欢 颜色 爱不释手 运行 内存 玩 不卡 显示 颜色 指纹 响应速度 说 人脸识别 满满的 惊喜 带 口罩 识别 太赞 配上 黑色 手机 壳 一张 无孔 陶瓷膜 美的 不要 不要 太漂亮 刚 华为 转过 期待 后续 使用 
2,以前 小米 现在 换 感觉 系统 没有 小米 顺手 
0,买 没 十天 降价 三百 
4,外形 外观 个人 喜欢 拍照 效果 非常 清晰 待机时间 两天 充电 
4,外形 外观 非常 时尚 感受 大大 大妥 妥 诚意 拍照 效果 简直 女生 拍照 神器 美美 运行 速度 非常 顺畅 不卡 发热 非常 非常 屏幕 音效 屏幕 物流 速度 快 拍照 好看 简直 神器 没 区别 关键 价格 实惠 左右 入手 中端 机型 值得 拥有 
4,外形 外观 手机 外形 长得 屏幕 音效 屏幕 音效 拍照 效果 拍照 清晰 运行 速度 运行 速度 很快 待机时间 长时间 待机 特色 实惠 手机 性价比 高 
4,屏幕 超级 棒 自带 贴膜 非常 清晰 灵敏 颜值 超高 一家 三口 苹果 小米 华为 碎屏 掉 厕所 觉得 本命 手机 价钱 合适 很多 功能 非常 符合 需求 非常 满意 
1,手机 做工 细节 不行 年 月 下单 给我发 年 月 手机 充电 插口 感觉 有点 
4,轻巧 颜色 好看 喜欢 比较 喜欢 这种 简约 风格 很百搭 
2,个人 觉得 一般般 打开 软件 更新 一遍 奇怪 我用 旧 机子 
1,掉电 太快 无语 放在 动 一会 没 
2,新手机 充电 原装 充电器 要冲 一个 小时 满电 
4,诞生 买 性价比 真的 高买 家里人 日常 视频 拍摄 记录 不错 反应 快 电量 强劲 屏幕 清晰 物流 给力 
4,幻 银色 手机 真 漂亮 买 两台 家人 送 耳机 真的 不错 做 备用机 流畅 续航 挺 价格 合适 
4,当天 买 第二天 上午 妈妈 喜欢 轻 握持 感 不错 系统 相当 简洁 设置 过后 不要 太好 图标 很大 适合 长辈 用下 一台 还会 支持 
2,知道 电池 一点 经用 感觉 像是 新机 
0,昨天 刚 收到 货 今天 降价 一百 申请 价保退 说好 保价 真 伤心 
4,帮 朋友 买 说 起来 不错 像素 高 样子 很漂亮 快递 非常 给力 喜欢 满意 描述 显 高档 物美价廉 买 朋友 下单 
0,京东 太 垃圾 刚 买 两天 降价 手机 不好 
0,成都 送过来 四五个 小时 事 送 三天 现在 没到 已经 签收 知道 手机 送到 
0,没有 一个月 死机 越来越 不行 
2,挖孔 屏用 感觉 还好 
4,外形 外观 外观 漂亮 华 彩色 屏幕 音效 屏幕 清晰 音效 拍照 效果 拍照 清晰 拍 夜色 运行 速度 运行 速度 很快 进行 很多 软件 待机时间 待机时间 不错 特色 京东 自营 产品质量 物流 很快 快递 小哥 态度 送货上门 
0,信号 极差 老 掉线 
0,没有 最差 更差 不能 卡 好歹 新手机 卡 连接 旧 手机 
2,刚 入手 总得来说 性价比 算 细说 手机 后壳 超级 容易 指纹 手机 看起来 一点点 充电器 头 很大 重 手机 音效 不错 价钱 
2,以后 京东 不能 信 
2,膜 贴 醉 感觉 像是 刀切 一块 影响 使用 影响 心情 
4,刚 打开 手机 快递 包装 外形 外观 简约 大方 屏幕 音效 拍照 未 使用 运营 速度 很快 先给 五星 好评 使用 一段时间 之后 再来 追评 
4,朝露 白 超级 耐 看到 手 一个多月 觉得 不错 指纹 灵敏 原装 膜 上面 贴 一层 膜 即便如此 指纹识别 很棒 快充 速度 很快 完全 够用 自拍 不错 吃 鸡 没什么 问题 偶尔 发热 正常 毕竟 夏天 闪退 出现 一两次 之后 没有 出现 流畅 推荐 购买 快捷 图标 很棒 喜欢 拉 式样 直角 边框 好看 
2,款 机器 性价比 不高 第一部 屏幕 指纹 经常 显示 后来 换 一部 价格 降 快 一个月 降 
4,手机 起来 满意 货真价实 
1,手机 好看 知道 状态 卡 手机 越贵 越 完蛋 
2,使用 感觉 一千左右 手机 没有 区别 后悔莫及 
0,满意 刚买 降 
0,收到 货 降价 真的 搞不懂 
0,说 赠品 知道 对象 到手 感觉 吃 苍蝇 
2,买 弟弟 还行 
0,特别 差 
4,外形 外观 外观 很漂亮 颜色 非常 非常 好看 做工 非常 不错 屏幕 音效 屏幕显示 效果 非常 滑动 顺滑 拍照 效果 拍照 效果 不错 够用 运行 速度 不怎么 玩游戏 运行 起来 流畅 待机时间 电池 待机时间 
2,耗电 快 发热 快 开着 省电 模式 后台 一个 浏览器 一个 听 习惯 双 扬声器 不要 入手 单杨 手机 反应 快 拍照 清晰 希望 官方 优化 一下 耗电 发热 
4,连续 买 两台 父母 一人 一个 做 活动 实惠 
4,打个 视频 电话 烫 前置 调 参数 可谓 榜首 充电 极快 直播间 送 一个 运动包 王者 不要 太好 整点 送 无线 蓝牙 运动 耳机 运行 速度 操作 流畅 丝滑 已经 老公 黑 以前 买 第二部 同款 手机 昨天 发货 今天上午 
0,俩 月 手机 死机 屏 目锁 打不开 
4,家里 长辈 完全 够 
0,太坑 降价 太快 没 一个月 降价 
2,手机 有点 问题 选择 退换 服务 挺不错 
4,待机 实在 太差 一天 不了 一上午 干 一半 电 没有 需要 大力 优化 
2,外形 外观 屏幕 音效 拍照 效果 运行 速度 待机时间 特色 系统优化 不太好 之前 版 系统 差好 远 总 感觉 屏幕 没 灵敏 信号 没版 差 同一 电梯 信号 满 打电话 上网 飞得 起来 电梯 里 信号 服 
2,手机 散热 不太好 
2,这是 第二次 买 这款 手机 电量 不够 一天 两充 
4,蔡司 超稳 微云 台 拍照 超棒来 消息 超酷 边框 外形 外观 超靓 屏幕 音效 超赞 运行 速度 超棒 
4,不错 尤其 后置 摄像 清晰 网速 不错 充电 很快 充 一次 一天 一直 使用 一天 便宜 好用 
4,买 第二部 
2,手机 发热 烫 
0,服务 太差 卖 
2,手机 掉价 太快 买不到 两个 月 掉 块钱 买 说 当时 拍送 耳机 期 免息 拍 完 第二天 送 耳机 期 免息 全是 套路 
4,家人 全是 手机 换 手机 依然 首选 使用 多天 体验 评价 款 手机 外观设计 很漂亮 手掌 不太大 单手操作 特别 喜欢 语音 助手 智慧 生活 助手 功能 真是 没得说 
1,电池 差 说 
2,手机 前置 摄像头 后置 摄像头 真的 对不起 价格 近距离 聚焦 效果 差 软件 删 不了 体验 舒服 电池 快充 小时 充满 目前 使用 一天 手机 使用 过程 中 发热 现象 
0,破 手机 破 服务态度 买 吃亏 他家 忽悠 
4,外观 大气 档次 屏幕 音效 屏幕 清晰度 高音质 拍照 效果 万 像素 拍照 清晰 夜间 自动 补光 运行 速度 运行 速度 快 不卡顿 
4,零点 下单 第二天 下午 送到 家 京东 物流 简直 一级 棒 手机 盒子 看着 漂亮 手机 简单 时尚 感 十足 握 轻薄 舒适 新机 运行 比较 流畅 朝露 白比 图片 好看 喜欢 颜色 送 一张 联通 卡 拍照 效果 感觉 不用 图 哈哈哈 待机时间 有点 费电 待机时间 有待 加强 
4,买 一款 游戏 手机 性能 真的 超级 棒开 高画质 一点 不卡 电量 很大 畅玩 一天 快 充充 半小时 恢复 大半 银色 外观 颜值 高 
0,包装 非常 差外 箱 变形 
0,手机 屏幕 玩 几天 划痕 酒精 擦不掉 我醉 自我 保护 不能 装 平台 游戏 
1,外形 外观 有点 丑 
2,挺 电池 一点 不经用 一直 系列 手机 这款 失望 
4,颜值 高手 感 一款 值得 种草 手机 手机 拍照 效果 十分 喜欢 拍照 效果 
4,手机 性价 高 配置 强悍 千元 机 级别 里 应该 算是 前五 颜值 高 手机 起来 舒服 去年 买 一台 家人 觉得 真不错 今年 新出 看准 优惠 时期 果断 入手 买 一台 品牌手机 送给 家人 
4,第一次 品牌 手机 外形 十分 漂亮 非常 轻薄 手感 非常 不错 屏幕显示 效果 十分 细腻 三星 屏的確 优秀 刷新率 十分 强大 单 扬声器 音效 说 载 耳机 效果 十分 不錯 拍照 效果 旧 手机 真的 很强 独有 蔡司 镜头 认证 效果 十分 惊艳 夜景 尤其 出色 强大 猎户座 处理器 
0,手机游戏 里开 不到 赫兹 赫兹 只能 开 极限 帧 率 赫兹 说 玩游戏 小伙伴 想要 游戏 中有 更好 体验 感 更 高 帧 数 更 高 流畅 度 不要 买 这款 手机 
4,手机 起来 方便 互传 信息 起来 超级 奈斯 轻薄 美观大方 拍照 效果 清晰 屏幕 音效 清晰 外形 外观 大气 运行 速度 很快 待机时间 不错 
0,极其 稳定 玩游戏 跳 一直 
1,手机 太厚 网速 好慢 没有 两三年 旧 手机 网速 快 
0,像素 太差 
4,外观设计 风格 非常 好看 屏幕 分辨率 清晰 拍照 清晰 运行 速度 流畅 待机时间 有待 考证 
4,老爸 买 够用 
4,简直 太好 只能 完美 形容 强烈推荐 宝贝 心仪 很久 活动 买 真的 太 划算 喜欢 不要 犹豫 发货 超级 快 到货 超级 快 包装 精致 
4,手机 不错 号 收到 货 特意 两天 评价 玩游戏 摄像 玩 吃 鸡 王者 荣耀 流畅 手机 发热 控制 网络 快 摄像头 拍照 挺 清晰 日常 使用 完全 够 手机 外观 挺 好看 玻璃 后盖 看起来 靓丽 电池 有点 小才 三千多 毫安 玩游戏 充满 电 玩 六七个 钟 三千多 毫安 电池 玩 六七个 钟 耗电 控制 配 四千多 毫安 电池 完美 
4,屏幕 音效 外形 外观 拍照 效果 运行 速度 
4,外形 外观 颜色 京彩 手感 舒适 屏幕 音效 全屏 观影 音效 很靓 拍照 效果 网课 作业 拍照 打卡 够 运行 速度 速度 很快 游戏 炫酷 五一 礼盒 优惠 果断 出手 装 非常 喜欢 软件 内置 软件 不错 舒服 配 游戏 手柄 降温 值得 期待 
0,一天 降价 申请 不到 价保 着实 京东 客服 失望 
2,外形 外观 普通 感觉 拍照 效果 拍照 一点 不防抖 特别 变焦 越大越 厉害 
4,国产手机 越来越 拍照 性能 
0,穿越 火线 带 不动 一卡 一卡 快递 发错 网点 晚 一天 最最 重要 买 颜色 华彩 瞧瞧 给我发 
0,白条 分期 买 天发 信息 一次性 付款 京东 信誉度 太差 找 客服 一个 推 一个 没有 权限 处理 只能 反馈 
1,待机时间 用电 太快 
4,颜色 漂亮 妈妈 喜欢 太爱 炫酷 手机 电灯光 超 好看 
2,本想 网上 买 便宜 一点 实体店 买 便宜 块钱 同样 配置 同样 手机 说 
4,一个 学生 喜欢 这台 手机 做 好看 
4,物超所值 商品 设计 完美 外观 高大 爱不释手 客服 更是 热情 没话说 购物 满意 京东 物流 很快 售后 放心 购买 
4,之前 华为 畅 享用 两三年 现在 马上 要读 大学 打算 换 新手机 最后 换 一个 星期 香 系统 流畅 续航 待机时间 很长 打游戏 一天 下来 手机 百分之四五十 电 充电 很快 分钟 充 十一二 格电快 充骁龙核 处理器 网络 速度 快到 飞起 像素 后置 拍照 很要 打游戏 开启 电竞 模式 电竞 模式 无论是 画质 速度 非常 不错 价格 适合 学生 党 入手 总结 下来 真的 很香想 换 手机 学生 党 考虑 款 
4,手机 收到 好几个 品牌 产品 质量 最终 选择 性价比 超高 产品 手感 质感 不错 图像 清晰度 高 
2,电池 耐用 快充 笑话 
4,一段时间 感觉 不错 觉得 之前 很多 外观 很漂亮 反应 很快 没什么 问题 拍照 特别 清晰 好看 拍 夜景 更 漂亮 真的 超级 喜欢 
4,手机 好多天 质量 顺手 喜欢 买 家电 京东 电器 值得 信赖 肖战 粉丝 小飞侠 支持 肖战 代言 京东 电器 
4,手机 外观 好看 厚度 合适 拍照 效果 非常 清晰 电池 够用 充电 还算 快通 音质 带 耳机 更好 运行 感觉 挺快 屏幕显示 非常 清晰 物流 挺快 特别 好评 新 系统 手机 起来 丝 滑 相机 蔡司 调教 没话说 真的 很棒 帧 数 不能 调 只能 电池 日常 打游戏 一日 一充 充电 很快 颜色 好看 手机 手感 很棒 爱 爱 
4,活动 买 感觉 蛮 系统 流畅 不卡顿 像素 蛮高 清晰 夜景 微距 效果 非常 满意 活动 时 帮 朋友 买 一台 非常 满意 
4,京东 自营 手机 品质 保障 款 手机 颜值 高 
2,感觉 挺 价位 有点 小卡 流畅 没有 耳机 赠送 
1,优酷 视频 总是 闪退 其他软件 闪退 现象 体验 不好 
0,刚买天 降价 买 这款 手机 需注意 买后 没 几天 会 降价 
0,耳机 插上 声音 巨小 会 一会 变 外放 搭 搭 搭 声音 应该 耳机 问题 
4,蔡司 像素 高 超薄 大屏 颜值 担当 手里 轻薄 起来 迅速 安卓机 用个 两年 应该 没有 问题 买 京东 发货 填单 错误 导致 承诺 时间 隔 三天 拿到 手机 半年 延保 十多天 没 显示 售后 账户 里 有点 尴尬 总体 卖颜值 像素 
2,现在 换货 过年 收到 货买 不到 一天 送到 手里 换 要天 寄 回去 整个 流程 得天 玩意 
4,价格 贵 使用 超级 实惠 一款 千元级 手机 硬件 配置 性价比 高 效果 不错 适合 老人 要求 不高 人群 使用 好评 
4,冲着 微云 台 蔡司 镜头 第一次 使用 品牌手机 非常 满意 潮流 合伙人 联名 礼盒 赠品 非常 丰厚 
4,收到 快递 快递 小哥 辛苦 马上 拆开 盒子 哈哈哈 手机 很漂亮 网上 买 手机 杠杠 俺家 个个 嘻嘻 嘻嘻 老板 很大 方要 送 一个 包包 
4,太 喜欢 手机 颜值 担当 高贵 机身 大小 刚刚 好用 起来 肯定 得心应手 
2,直播间 购买 说 赠送 充电 套装 没有 送存 属 骗人 
0,两个 星期 手机 经常 无故 关机 正品 要求 更换 手机 
4,选购 安全 方便快捷 快递 小哥 态度 非常 价格 非常 给力 十分 推荐 会 继续 回购 很快 全新 正品 包装 仔细 没有 问题 
4,总体 感觉 不错 系统 运行 流畅 照相 效果 没用 版 知道 区别 出 超大 
0,说 蓝牙 耳机 机 没有 到底 怎么回事 
4,期间 买 传奇 版用 起来 不错 家里人 需要 买 机子 送 好几个 东西 满意 手机 起来 挺不错 送货 时间 有点 久 
0,耗电 好快 手电筒 不亮 差评 千万 不要 买 这款 手机 
4,满意 
0,刚过 价保期 降价 没 第一次 京东 购物 体验 差 
1,一个月 手机 运行 速度 确实 不错 拍照 清晰 不能 理解 蓝牙 听个 百度 小说 手机 居然 发 烫得 厉害 电池容量 确定 后台 一个 微信 一个 待机时间 居然 不到 两天 
0,耳机 没有 成 套路 
0,发 语音 录 视频 声音 快 进 机器人 声音 完全 第一次 换 一个 简直 怀疑 换 一个 没有 几千块 丢 可惜 简直 无语 
0,太烂 华为 一点 不值 价 后悔 死 
4,第一次 买手机 系统 不太用 习惯 感觉 挺 
4,手机 收到 一段时间 评价 感觉 非常 好用 速度 反应 快 外套 时尚 大方 高端 大气 手感 非常 拿到 手 里面 分量 体面 值得 购买 
4,发货 迅速 已经 收到 几天 评价 外观 漂亮 惊艳 音质 拍照 效果 特别 以前 机子 相比 很大 提升 运行 速度 飞快 唯一 不足 感觉 耗电 有点 快 配 充电器 充电 很快 一会儿 充好 电 弥补 不足 总体 非常 满意 
2,包装 设计 新颖 赏心悦目 里面 配件 齐全 层次分明 细节 处理 单 到位 手机 设计 精致 外观 颜值 高 屏幕 色彩 绚丽 拍照 清晰 完美 听 音乐 音质 效果 运营 速度 很快 搭配 超级 闪充 打游戏 中度 使用 基本 一天 一充 网络 会断 中间 时期 降价 很多 送 原装 充电 套装 手游线 这点 做 厚道 
0,外形 外观 不错 令人 非常 气愤 买不到 一个月 今天 忽然 发现 款 手机 降价 送 东西 好几个 手机 包括 家里 两位 老人 买 品牌 算是 品牌 铁粉 买 完 这款 带来 体验 最差 真的 太 失望 拍照 效果 拍照 挺 待机时间 待机时间 达到 预期 效果 运行 速度 目前 安装 软件 少 基本上 挺 满意 屏幕 音效 
0,新买 手机 发现 音频 里 月 号 下载 两 首歌曲 京东 解释 花 一手 价钱 买 二手货 
2,使用 过程 中 手机 老是 发烫 换 一台 发烫 挺 郁闷 
4,京东 力 下单 第二天 到货 手机 外观 很漂亮 拍照 效果 非常 清晰 充电 速度 很快 待机时间 长 一次 愉快 购物 
4,外观 精美 颜色 好看 外形 简洁 摸 质感 不错 拍照 清楚 可远 可近 屏幕 清晰 音质 纯正 没有 杂音 运行 速度 很快 玩游戏 不会 卡 电池 耐用 
0,多台 这台 最差 发热 快 耗电 快 
0,商品质量 问题 换货 慢 不行 
0,买 第二部 后悔 第一部 忘记 锁 屏密 不能 强行 重起 不能 希望 这部 别忘了 密码 知道 一直 支持 华为 华为 我错 
4,非常 好用 值得 购买 京东 理由 退货 方便 值得 信赖 
1,不好 电池 耐用 
0,手机 行 手机 自带 耳机 坏 客服 发消息 带回 登录 网站 查 
2,手机 电量 百分之十五 使用 不到 三四分钟 关机 没电 知道 正 正常 
4,速度 快 
4,快递 超级 快 京东 自营 值得 拥有 买到 实 机子 反应 快 不卡顿 发热 值得 推荐 
2,外观 运行 拍照 挺不错 没有 赠送 东西 耳机 没有 有点 失落 送给 爸妈 
4,非常 不错 一款 千元 机 使用 起来 非常 流畅 外观设计 美观 外形尺寸 大小 合适 手感 不错 运行 速度 很快 打游戏 不会 发烫 拍照 清晰 同事 看到 买 不错 果断 下单 
2,感觉 买 一个 假 万 相机 质量 真差 苹果 拍照 效果 不行 不值 价钱 
4,千元 机 
0,吃 鸡 屏幕 不够 灵敏 切换 眼睛 经常 点 不到 以前 小米 没有 情况 知道 有没有 
4,样子 不错 薄 几个 软件 烫过 一会儿 好些 充电 很快 希望 能用 久 京东 物流 真快 凌晨 拍 中午 
4,手机 年轻人 新宠 孩子 点名 款式 蔡司 光学 镜头 超稳 微云 台 拍照 夜景 更 出色 全 网通 手机 超薄 手感 舒适 内芯 强大 运行 流畅 不卡顿 音质 非常 好孩子 一上 手 已经 爱不释手 周末 美景 拍 起来 京东 自营 物流 高效 专业 快捷 闪电 送 完美 一次 购物 体验 
4,手机 很漂亮 妈妈 喜欢 微光 比较 雅致 适合 年纪 一点 女性 使用 
4,上午 下单 下午 真是 快 包装 简捷 安全 外观设计 漂亮 手感 质感 完美 拍照 清晰 照片 看起来 精致 内存 速度 快不卡 送 耳机 长辈 喜欢 
4,性价比 高 屏幕 反应 快 拍照 效果 不错 运行 速度 很快 充电 非常 快 感觉 电掉 快 
4,速度 预估 早 开心 手机 非常 漂亮 手机 关注 好久 买 过来 备用机 试用 主机 完全 够用 充电 很快 
