评论,评分,label,comment_processed
很满意的手机，原来的是X23，不到两年升级一下，因为用着顺手，根本没有考虑别的牌子，主要看中这款手机的拍照功能，用了几天非常满意，所以迟了今天才来评论，我比较注重于拍照功能，这个品牌就是无二选择，外观也高端大气，手感厚重，五星好评,5,4,满意 手机 原来 不到 两年 升级 一下 顺手 根本 没有 考虑 牌子 主要 看中 款 手机 拍照 功能 几天 非常 满意 迟 今天 评论 比较 注重 拍照 功能 品牌 无二 选择 外观 高端 大气 手感 厚重 五星 好评 
亲@手机隔天就收到，上手实验了一晚！怎么说呢！感觉还不错，特别是拍照夜晚模式出乎我的意料，比我同事P40还要强很多，奥利给！长脸！外形外观：靓仔！屏幕音效：一般拍照效果：主打，贼棒运行速度：可以待机时间：很好其他特色：速度快,5,4,亲 手机 隔天 收到 手 实验 一晚 说 感觉 不错 特别 拍照 夜晚 模式 出乎 意料 同事 强 很多 奥利 长脸 外形 外观 靓仔 屏幕 音效 拍照 效果 主打 贼 棒 运行 速度 待机时间 特色 速度 快 
使用了十来个小时还有53个电，拍照给力，比我期待的要好(?▽?)继续合作愉快，谢谢！,5,4,使用 十来个 小时 电 拍照 给力 期待 继续 合作愉快 谢谢 
本来想买华为但一直抢不到，还是买了之前也在用的vivo，还有这个礼盒很棒呀～送的衣服和手柄都很好很nice，手机用了几天了，外壳很漂亮，拍照杠杠的，喜欢喜欢?，妈妈也准备换手机，还说做梦也换了这个手机??,5,4,本来 想 买 华为 一直 抢 不到 买 之前 礼盒 很棒 送 衣服 手柄 手机 几天 外壳 很漂亮 拍照 杠杠 喜欢 喜欢 妈妈 准备 换 手机 说 做梦 换 手机 
送给媳妇的礼物，媳妇一直使用的都是vivo，x60这款手机颜值很高，手感很好，拍照和画质都很好！,5,4,送给 媳妇 礼物 媳妇 一直 使用 这款 手机 颜值 高手 感 拍照 画质 
"超薄款，照相效果确实不错，但是试验了好几次的超级月亮，感觉拍摄出来的非常不真实，明明是夜间，拍出来却亮亮的，不知道是哪里没有调试好，其他的都很不错，拍出来的照片质量都超级好,大赞?",5,4,超薄 款 照相 效果 确实 不错 试验 几次 超级 月亮 感觉 拍摄 非常 真实 明明 夜间 拍 亮亮的 知道 没有 调试 不错 拍 照片 质量 超级 好大赞 
手机很漂亮，反应速度快，三星猎户座1080处理器性能超骁龙865...推荐购买，价钱也很合适，物超所值.,5,4,手机 很漂亮 反应速度快 三星 猎户座 处理器 性能 超骁龙 推荐 购买 价钱 合适 物超所值 
拍照效果：还不错待机时间：外观真的是好看无敌，轻薄，颜色也巨好看，微光真的绝绝子。,5,4,拍照 效果 不错 待机时间 外观 真的 好看 无敌 轻薄 颜色 巨 好看 微光 真的 绝绝子 
很好，给媳妇买的，各方面符合我们的要求，别吐槽什么33w充电慢，要那么快干啥！外形外观：轻薄华丽屏幕音效：美不胜收拍照效果：拿手好戏其他特色：origin os值得体验,5,4,媳妇 买 方面 符合 要求 别吐槽 充电 慢要 快干 外形 外观 轻薄 华丽 屏幕 音效 美不胜收 拍照 效果 拿手好戏 特色 值得 体验 
妈妈超级喜欢，因为照相功能太强大了，以前用的是vivox20，现在给老人换这个，非常强大的国货，性价比也可以说没说的，会继续支持的。大牌有的咱们也有，他们没有的，我们更强大，希望在品质和颜值上不停进步。,5,4,妈妈 超级 喜欢 照相 功能 太强大 以前 现在 老人 换 非常 强大 国货 性价比 说 没说的 会 继续 支持 大牌 没有 更 强大 希望 品质 颜值 不停 进步 
送货速度那是没的说，非常的快。送朋友用的，她蛮喜欢的，这个牌子已经多次购买了，品质是有保证的，使用效果蛮不错的，颜值真的蛮高的，手机也挺薄的，处理器速度很快的，整体感觉还是蛮好的。,5,4,送货 速度 没 说 非常 快 送 朋友 蛮 喜欢 牌子 已经 多次 购买 品质 保证 使用 效果 蛮 不错 颜值 真的 蛮高 手机 挺 薄 处理器 速度 很快 整体 感觉 蛮 
颜色漂亮，妈妈喜欢，太爱了，炫酷的手机，来电灯光超好看,5,4,颜色 漂亮 妈妈 喜欢 太爱 炫酷 手机 电灯光 超 好看 
外形外观：手机外形颜值靓丽屏幕音效：音色非常好拍照效果：不错，有很多专业镜头运行速度：快，而顺畅待机时间：正常用的话一天够用其他特色：手机包装大气时尚潮流，正体不错值得购买,5,4,外形 外观 手机 外形 颜值 靓丽 屏幕 音效 音色 非常 拍照 效果 不错 很多 专业 镜头 运行 速度 快 顺畅 待机时间 正常 一天 够用 特色 手机 包装 大气 时尚 潮流 正体 不错 值得 购买 
手机外观设计很好看，像素摄像头也很到位，买给父母的，父母很喜欢，他们一直用vivo 值得信赖,5,4,手机 外观设计 好看 像素 摄像头 到位 买 父母 父母 喜欢 一直 值得 信赖 
第二台vivo，支持国产，性价比超高，照相，录像真的超赞，用过就知道了，比某果强太多了，华彩颜色喜欢，一定要透明壳，不然没有灵魂，哈哈哈哈?,5,4,第二台 支持 国产 性价比 超高 照相 录像 真的 超赞用 知道 某果 强太多 华彩 颜色 喜欢 一定 透明 壳 没有 灵魂 哈哈哈哈 
外形外观：很薄，很轻，流线型设计非常不错。屏幕音效：屏幕几乎全屏，前置摄像占用空间非常小。音效吧，就没得说了，毕竟有步步高的加持。拍照效果：和专业相机有一拼呢，拍照的玩法也有好几种，美颜开起来瞬间让你亲戚都不认识你是谁，小姐姐拍照神器运行速度：8加3的运行内存足够用了！其他特色：比x30薄很多呀！很轻便舒适,5,4,外形 外观 薄 轻 流线型 设计 非常 不错 屏幕 音效 屏幕 几乎 全屏 前置 摄像 占用 空间 非常 音效 没得说 毕竟 步步高 加持 拍照 效果 专业 相机 拼 拍照 玩法 好几种 美颜 开 起来 瞬间 亲戚 认识 小姐姐 拍照 神器 运行 速度 加 运行 内存 足够 特色 比薄 很多 轻便 舒适 
之前用的是x21，用了三年，这次换了x60，用着更流畅了，颜值也特别高，喜欢！,5,4,之前 三年 换 更 流畅 颜值 特别 高 喜欢 
手机屏幕清晰，反应敏捷，照相也清晰，有广角镜头，十分满意,5,4,手机 屏幕 清晰 反应 敏捷 照相 清晰 广角镜头 十分满意 
手机非常漂亮，手感非常好，我老婆特别喜欢，就是发热比较严重，还有耗电特别快，希望后期能够优化。,5,4,手机 非常 漂亮 手感 非常 老婆 特别 喜欢 发热 比较严重 耗电 特别 快 希望 后期 能够 优化 
"正好vivo出了X60手机,感觉样子很好看,轻薄颜值高,和蔡司合作,本来就照相很好,这下小蓝标加持,更上台阶,很喜欢。手机用起来很快, 8核不是盖的, 5G上网喂嗖的,网速太快。",5,4,正好 出 手机 感觉 样子 好看 轻薄 颜值 高 蔡司 合作 本来 照相 蓝标 加持 更上 台阶 喜欢 手机 起来 很快 核 盖 上网 嗖 网速 太快 
美观大方，手感也不错，画面很清楚，之前用的就是v&times;的，很好用现继续购买，希望这次也不要让我失望,5,4,美观大方 手感 不错 画面 清楚 之前 用现 继续 购买 希望 不要 失望 
手机很给力，昨天付的尾款今天就收到了，第一次用这个牌子，外观很好看，手感也不错，喜欢在京东买手机，质量售后有保障，很满意的一次购物,5,4,手机 力 昨天 付 尾款 今天 收到 第一次 牌子 外观 好看 手感 不错 喜欢 京东 买手机 质量 售后 保障 满意 一次 购物 
手机不建议购买，今天蹲在那里的高度，手机摔下来摄像居然摔裂开了，真是无语了，虽然设计的好看，但是不中用，上个是苹果手机用了3年无数次摔，还被小孩故意摔都没啥问题，只能说是手机问题，上市时没有测试摄像头耐摔能力，不是说国产手机不好，只能说这部刚上市的手机不是那么的完美,5,4,手机 建议 购买 今天 高度 手机 摔下来 摄像 居然 摔 裂开 真是 无语 设计 好看 不中用 上个 苹果 手机 年 无数次 摔 小孩 故意 摔 没 问题 只能 说 手机 问题 上市 时 没有 测试 摄像头 耐 摔 能力 说 国产手机 不好 只能 说 这部 刚 上市 手机 完美 
非常喜欢，买给爸爸的，太漂亮啦~运营很流畅，拍照也很清晰，后边是磨砂的质感，机身很薄，手感很不错，一只手拿着刚刚好。,5,4,非常 喜欢 买 爸爸 太漂亮 运营 流畅 拍照 清晰 后边 磨砂 质感 机身 薄 手感 不错 一只 手拿着 刚刚 
手机收到了，非常满意，外观漂亮，像素也非常的高，照相非常的清晰，运行流畅性能值得入手。各方面表观的不错，妥妥的五星好评。,5,4,手机 收到 非常 满意 外观 漂亮 像素 非常 高 照相 非常 清晰 运行 流畅 性能 值得 入手 方面 表观 不错 妥妥 五星 好评 
拍照效果：拍照尤其是人像非常漂亮，运动抓拍外形外观：磨砂漂亮待机时间：更新系统之后，优化了续航可以接受，要关闭高刷，5g，对于续航优先这两个就是鸡肋运行速度：运行速度新机很流畅其他特色：轻薄，充电飞快适合喜欢拍照，对外观艳值有要求的,5,4,拍照 效果 拍照 尤其 非常 漂亮 运动 抓拍 外形 外观 磨砂 漂亮 待机时间 更新 系统 之后 优化 续航 接受 关闭 高刷 续航 优先 两个 鸡肋 运行 速度 运行 速度 新机 流畅 特色 轻薄 充电 飞快 适合 喜欢 拍照 外观 艳值 要求 
一直以来用的都是vivo品牌的手机，外观设计的很靓丽，运行速度快拍照效果清晰，很赞,5,4,一直 品牌 手机 外观设计 靓丽 运行 速度 快 拍照 效果 清晰 很赞 
拍照效果：蔡司镜头，应该很不错运行速度：芯片ok，不玩游戏，平时拍拍照，完全够用待机时间：4300的电池，33w快充，香,5,4,拍照 效果 蔡司 镜头 应该 不错 运行 速度 芯片 玩游戏 平时 拍拍 完全 够用 待机时间 电池 快 充香 
一直用这个牌子的手机，外观好看，拍照功能也很好，这次特意买了个大内存的，希望能用的久一点，另外挺期待送的赠品，不知道何时发过来？,5,4,一直 牌子 手机 外观 好看 拍照 功能 特意 买 内存 希望 能用 久 一点 挺 期待 送 赠品 知道 发过来 
刚拿到手，从包装到外观确实挺好，很惊艳，手机手感极佳，运行很流畅，实拍了几张照片确实很清晰，现在用用有什么好处继续分享。,5,4,刚 拿到 手 包装 外观 确实 挺 惊艳 手机 手感 极佳 运行 流畅 实拍 几张 照片 确实 清晰 现在 用用 好处 继续 分享 
刚收到机器就开机上手了，第一次用vivo手机刚开始心里挺忐忑，拿到手一开箱，挺惊艳的，外观艳丽，机器清晰度很高，手感重重的特别有质感，灵敏度也很高，音质清晰，太喜欢了，支持国货从我自己做起，信赖京东！,5,4,刚 收到 机器 开机 上手 第一次 手机 刚 心里 挺 忐忑 拿到 手一 开箱 挺 惊艳 外观 艳丽 机器 清晰度 高手 感 重重的 特别 质感 灵敏度 高音质 清晰 太 喜欢 支持 国货 做起 信赖 京东 
到货上手第五天，其他都好，就是电池驰航不好，估计喜欢看视频玩游戏的一天要充好几次吧，耗电太快这点有些失望,5,4,到货 手 第五天 电池 驰航 不好 估计 喜欢 视频 玩游戏 一天 充好 几次 耗电 太快 这点 失望 
今年买的第二部vivo手机了，这款x60手感非常棒，很薄，照相的质量没得说，还有给老黑白照片加色的功能。总体来说性价比非常不错！,5,4,今年 买 第二部 手机 这款 手感 非常 棒 薄 照相 质量 没得说 老 黑白照片 加色 功能 总体 性价比 非常 不错 
刚到手，这款手机上市以来一直都在关注，特别喜欢这一次的设计蔡司光学镜头。日常除了喜欢拍照以外更喜欢打游戏，这款手机不亏是真香机，尤其是4D游戏震感再加上正面虚拟灯效功能，简直太炫酷了！搭配三星旗舰处理器，磨砂工艺不仅手感好打游戏更是纵享丝滑。当然还有许多人性化的设置，比如电竞模式、还有游戏变声等都非常的惊艳好玩。昨天刚收到后打了一天，开黑老是凑不齐队友，要不然必定带飞起来，不说了有缘峡谷见~,5,4,刚 到手 款 手机 上市 一直 关注 特别 喜欢 一次 设计 蔡司 光学 镜头 日常 喜欢 拍照 以外 更 喜欢 打游戏 款 手机 不亏 真香机 尤其 游戏 震感 加上 正面 虚拟 灯效 功能 简直 太炫酷 搭配 三星 旗舰 处理器 磨砂 工艺 手感 打游戏 更是 纵享 丝滑 人性化 设置 电竞 模式 游戏 变声 非常 惊艳 好玩 昨天 刚 收到 一天 开黑 老 凑 不齐 队友 必定 带飞 起来 说 有缘 峡谷 见 
屏幕音效：屏幕用着很舒服，音效一如既往的好拍照效果：用了十几年，没让我失望过运行速度：很快,5,4,屏幕 音效 屏幕 舒服 音效 一如既往 拍照 效果 十几年 没 失望 运行 速度 很快 
"手机外观好看，厚度合适,拍照效果非常清晰，电池很够用，充电还算快，通音质很好，带耳机更好，运行我感觉挺快的，屏幕显示非常清晰，物流挺快的。特别好评vivo的新系统，手机用起来很很丝滑相机是蔡司调教出来的没话说真的很棒帧数120，但是不能调90，只能60或120，电池日常不打游戏一日一充，充电还是很快的颜色好看，手机手感很棒，爱了爱了",5,4,手机 外观 好看 厚度 合适 拍照 效果 非常 清晰 电池 够用 充电 还算 快通 音质 带 耳机 更好 运行 感觉 挺快 屏幕显示 非常 清晰 物流 挺快 特别 好评 新 系统 手机 起来 丝 滑 相机 蔡司 调教 没话说 真的 很棒 帧 数 不能 调 只能 电池 日常 打游戏 一日 一充 充电 很快 颜色 好看 手机 手感 很棒 爱 爱 
外形非常漂亮，这个前置点摄像头很小还是相当惊艳的。稍微体验的一会，相当流畅，拍照很清晰！屏幕音效比较不错！手机速度，非常轻薄！手感等等都非常不错。,5,4,外形 非常 漂亮 前置 点 摄像头 很小 相当 惊艳 稍微 体验 一会 相当 流畅 拍照 清晰 屏幕 音效 比较 不错 手机 速度 非常 轻薄 手感 非常 不错 
手机收到了，第三台ViVO了X21i用了两年多还是很好用，前两个月又入手X30，现在又X60  ViVO值得入手,5,4,手机 收到 第三台 两年 前 两个 月 入手 现在 值得 入手 
好漂亮的手机！轻薄，颜值和手感都100分。开机用了一段时间，非常顺畅，好评好评！,5,4,漂亮 手机 轻薄 颜值 手感 分开 机用 一段时间 非常 顺畅 好评 好评 
外形外观：黑色耐看，看起来质感很棒！拍照效果：后摄还不错，前置视频的时候一般运行速度：好，不错,5,4,外形 外观 黑色 耐看 看起来 质感 很棒 拍照 效果 摄 不错 前置 视频 运行 速度 不错 
外形外观：手机很好看，轻薄质感好屏幕音效：音质很好，拍照效果：像素特别高，拍照很好看运行速度：运行速度特别快待机时间：收到新机器还有待考验,5,4,外形 外观 手机 好看 轻薄 质感 屏幕 音效 音质 拍照 效果 像素 特别 高 拍照 好看 运行 速度 运行 速度 特别 快 待机时间 收到 新 机器 考验 
手机使用了一天了，总体来说很不错。外观设计很好看。质感很好。拍照效果刚刚的。运行速度快不卡顿。音质很好。待机也还行。用手机还是用vivo   X系列的手机。做工好颜值高。配置也好。,5,4,手机 使用 一天 总体 不错 外观设计 好看 质感 拍照 效果 刚刚 运行 速度 快 不卡顿 音质 待机 行用 手机 系列 手机 做工 好颜值 高 配置 
手感很好，颜色也好看。上一个手机也是vivo，这次买手机首选这个牌子，还好没让我失望。没有去实体店看，直接看好了网上买的。在京东买了很多部手机了，自己买帮家人朋友买，值得信赖。,5,4,手感 颜色 好看 一个 手机 买手机 首选 牌子 还好 没 失望 没有 实体店 直接 看好 网上 买 京东 买 很多 部手机 买 帮 家人 朋友 买 值得 信赖 
送我爸的生日礼物，手感很好，挺薄的，颜色看起来很高级，黑色的好看，运行很流畅，充电速度也很快，喜欢！！！！！！！！！！！！,5,4,送 爸 生日礼物 手感 挺 薄 颜色 看起来 高级 黑色 好看 运行 流畅 充电 速度 很快 喜欢 
一直用vivo手机，vivo出了X60，感觉样子很好看，轻薄颜值高，照相很好。手机用起来很快，5G上网快，京东快递一直很给力,5,4,一直 手机 出 感觉 样子 好看 轻薄 颜值 高 照相 手机 起来 很快 上网 快 京东 快递 一直 力 
手机收到了，外观设计非常时尚，做工超好精细，拍照效果一流，支持国货，支持国货，支持国货！,5,4,手机 收到 外观设计 非常 时尚 做工 超好 精细 拍照 效果 一流 支持 国货 支持 国货 支持 国货 
手机很大，很惊艳！档次很高！很漂亮！值得购买！vibo手机用了很多年了，总是让人放心！,5,4,手机 很大 惊艳 档次 高 很漂亮 值得 购买 手机 很多年 总是 放心 
外形外观：曲面说句实话第一眼是蛮丑的，哈哈，而且有点鸡肋，看视频或者打字总是会碰到屏幕，然后就自动返回，很不方便。屏幕音效：屏幕很清晰，音效也还不错拍照效果：拍照效果超好，特别是虚化镜头，拍出来的照片很好看，背景虚化得很好。运行速度：运行速度正常，现在刚买看不出什么，等后面慢慢观察待机时间：刚买的手机待机一天这样,5,4,外形 外观 曲面 说句实话 第一眼 蛮 丑 有点 鸡肋 视频 打字 总是 会 碰到 屏幕 自动 返回 方便 屏幕 音效 屏幕 清晰 音效 不错 拍照 效果 拍照 效果 超好 特别 虚化 镜头 拍 照片 好看 背景 虚化 运行 速度 运行 速度 正常 现在 刚买 看不出 后面 慢慢 观察 待机时间 刚买 手机 待机 一天 
外形外观：轻薄手感好屏幕音效：清晰拍照效果：防抖真的牛运行速度：流畅快递还是这么给力，电子产品还是京东给力,5,4,外形 外观 轻薄 手感 屏幕 音效 清晰 拍照 效果 防抖 真的 牛 运行 速度 流畅 快递 给力 电子产品 京东 给力 
手机收到了，用了几天非常好用。颜值很好，外观漂亮，运行速度很快。拍照效果好。老粉丝了，推荐购买。五星好评，爆赞,5,4,手机 收到 几天 非常 好用 颜值 外观 漂亮 运行 速度 很快 拍照 效果 老 粉丝 推荐 购买 五星 好评 爆赞 
一直想换新手机，目前5G出了很多新款，因为一直用惯了这个型号的手机，所以就迫不及待的想入手了，因为一直信赖京东自营的商品和服务，赶着这次疫情也没影响到送货的速度两天就到了，手机内存大运行速度快，功能越来越强大手机外观漂亮，屏幕清晰，这个颜色太漂亮了。,5,4,一直 想换 新手机 目前 出 很多 新款 一直 用惯 型号 手机 迫不及待 想 入手 一直 信赖 京东 自营 商品 服务 赶着 疫情 没 影响 送货 速度 两天 手机 内存 运行 速度 快 功能 越来越 强大 手机 外观 漂亮 屏幕 清晰 颜色 太漂亮 
5G速度就是快，,5,4,速度 快 
外形外观：很漂亮，气质出众，特别所选的这款秘银系列，底亮漂亮得不要不要的，很喜欢。屏幕音效：很好，有环绕声效果，音量、音质出众，听歌棒棒的。拍照效果：绝对强大?。60倍变焦，拍出来的效果比单反相机还要好，画质超一流，自带望远镜是功能，拍照效果里这款手机的最强亮点之一，也是广大消费者购买它的主要原因！自带修图功能，无需再下载修图软件，爽！运行速度：畅快。待机时间：还可以，频密使用，一天一充。其他特色：细节完美，做工精致，设计合理，颜值功能兼具，个人非常喜欢。,5,4,外形 外观 很漂亮 气质 出众 特别 所选 这款 秘银 系列 底亮 漂亮 不要 不要 喜欢 屏幕 音效 环绕声 效果 音量 音质 出众 听歌 棒棒 拍照 效果 绝对 强大 倍 变焦 拍 效果 单反相机 画质 超一流 自带 望远镜 功能 拍照 效果 里 这款 手机 最强 亮点 广大 消费者 购买 主要 原因 自带 修图 功能 无需 下载 修图 软件 爽 运行 速度 畅快 待机时间 频密 使用 一天 一充 特色 细节 完美 做工 精致 设计 合理 颜值 功能 兼具 个人 非常 喜欢 
今年这是第四部手机了！我们一家都是用这个！好用，流畅。物流很快，服务，售后都很不错！,5,4,今年 这是 第四部 手机 一家 好用 流畅 物流 很快 服务 售后 不错 
预售购买的，很快就到手了，全屏手机，手感非常好，华彩颜色很漂亮一手绝对可以掌握，买给妈妈作为生日礼物?，拍照非常清晰，夜景模式在微弱灯光下拍的也很清晰，手机反应很快，绝对是送人自用都是很好的选择,5,4,预售 购买 很快 到手 全屏 手机 手感 非常 华彩 颜色 很漂亮 一手 绝对 掌握 买 妈妈 生日礼物 拍照 非常 清晰 夜景 模式 微弱 灯光 拍 清晰 手机 反应 很快 绝对 送 自用 选择 
妈妈非常喜欢这个手机，说好手机果然是不一样，操作快 信号强? 准备自己也入手一个,5,4,妈妈 非常 喜欢 手机 说好 手机 操作 快 信号 强 准备 入手 一个 
拍照效果：据说非常好，今晚试试屏幕音效：清脆好听外形外观：好看，流线条美其他特色：特效不错，好玩待机时间：长，是真长运行速度：快！,5,4,拍照 效果 据说 非常 今晚 试试 屏幕 音效 清脆 好听 外形 外观 好看 流 线条美 特色 特效 不错 好玩 待机时间 长是 真长 运行 速度 快 
后壳的渐变色很漂亮，直屏和薄机身以及不超过200g重量拿在手上也有手感，屏幕素质也挺好，和蔡司合作的摄像也是第一梯队水平，日常使用满意度很高，就是还没玩过游戏，不知游戏体验怎样。,5,4,后壳 渐变色 很漂亮 直屏 薄 机身 超过 重量 拿在手上 手感 屏幕 素质 挺 蔡司 合作 摄像 第一 梯队 水平 日常 使用 满意度 高 没玩过 游戏 不知 游戏 体验 
手机收到了，外观好看。网速杠杠的值得购买值得信赖！,5,4,手机 收到 外观 好看 网速 杠杠 值得 购买 值得 信赖 
发货速度非常快，上午下单，下午就送到了，开盒非常惊艳，手机很精美，做工很精细，质感非常好，像素非常高，拍摄效果很好，放了音乐音质也好，软件启动速度很快，充电也很快，非常喜欢，今后会家人会继续支持vivo！！！！！,5,4,发货 速度 非常 快 上午 下单 下午 送到 开盒 非常 惊艳 手机 精美 做工 精细 质感 非常 好像 素 非常 高 拍摄 效果 放 音乐 音质 软件 启动 速度 很快 充电 很快 非常 喜欢 今后 会 家人 会 继续 支持 
买给媳妇日常帮孩子拍照用，特意选了8+256G，各项性能都很满意.特别是拍照功能没让我们失望，给孩子拍照非常棒.外形外观：外形很漂亮，继承了x20的优点非常轻薄，手感也非常不错屏幕音效：屏幕显示效果细腻，三星屏确实优秀，刷新率非常棒拍照效果：拍照效果可以说真的很强，买之前我的定位就是给孩子拍照用，没让我失望。而且那个防抖做的挺不错，可以随时抓拍撒欢的小屁孩。运行速度：猎户座1080处理器不错，很强大，运行速度很快，新出的处理器，应该可以用个三四年在换了。待机时间：晚上睡觉前充好，基本可以用一天。就偶尔刷刷抖音，看看视频。不玩游戏..总体非常满意;,5,4,买 媳妇 日常 帮 孩子 拍照 特意 选 各项 性能 满意 特别 拍照 功能 没 失望 孩子 拍照 非常 棒 外形 外观 外形 很漂亮 继承 优点 非常 轻薄 手感 非常 不错 屏幕 音效 屏幕显示 效果 细腻 三星 屏 确实 优秀 刷新率 非常 棒 拍照 效果 拍照 效果 说真的 很强 买 之前 定位 孩子 拍照 没 失望 防抖 做 挺不错 抓拍 撒欢 小屁孩 运行 速度 猎户座 处理器 不错 强大 运行 速度 很快 新出 处理器 应该 用个 三四年 换 待机时间 晚上 睡觉 前 充好 基本 一天 偶尔 刷刷 抖音 看看 视频 玩游戏 总体 非常 满意 
拍照强大，尤其夜景，很喜欢，手感也不错，希望能多用一段时间！,5,4,拍照 强大 尤其 夜景 喜欢 手感 不错 希望 多用 一段时间 
华彩太棒了，颜色绚丽，颜值高，像素惊人，拍照功能强大能满足自己的一切需求,5,4,华彩 太棒了 颜色 绚丽 颜值 高像素 惊人 拍照 功能强大 满足 需求 
这物流太快了当天就收到货了，实物美美哒，触感很好，很推荐哦~裸机特别漂亮，握感也特别好，原装送的壳子侧边机器是露出来的，又美手感也特别好，而且把手机也包裹得很紧。?这个颜色好喜欢，性价比很高，非常nice，?开心开心?,5,4,物流 太快 当天 收到 货 实物 美美 哒 触感 推荐 裸机 特别 漂亮 握感 特别 原装 送 壳子 侧边 机器 露出 美 手感 特别 手机 包裹 紧 颜色 喜欢 性价比 高 非常 开心 开心 
手机很好用，和网上描述的一模一样，打游戏的话速度很流畅，就是的话电池的续航能力不怎么好，然后的话游戏游戏的时候高配置的话会有一点发热，其他的我都很满意，速度非常快。,5,4,手机 网上 描述 一模一样 打游戏 速度 流畅 电池 续航 能力 不怎么 游戏 游戏 高 配置 会 一点 发热 满意 速度 非常 快 
手机很好用，用着很流畅，系统用着跟华为的比不相上下，我比较喜欢也比较满意，嗯速度也比较快，打游戏的话就是有点发热还是有点耗电。,5,4,手机 流畅 系统 华为 不相上下 比较 喜欢 比较满意 速度 比较 快 打游戏 有点 发热 有点 耗电 
手机摔碎了，晚上紧急下单，第二天没等起床就送到了，解了燃眉之急！京东物流太赞了，这种贵的东西还是要在京东旗舰店买，品质有保障，服务也有保障！新手机的生产日期是半个月前的非常新，总之就是非常非常非常满意！现在已经把所有数据导到新手机里了，vivox60没有让我失望，运行速度很流畅，外观很漂亮，支持国货！,5,4,手机 摔碎 晚上 紧急 下单 第二天 没 起床 送到 了解 燃眉之急 京东 物流 太赞 这种 贵 东西 京东 旗舰店 买 品质 保障 服务 保障 新手机 生产日期 半个 月 前 非常 新 非常 非常 非常 满意 现在 已经 数据 导到 新手机 里 没有 失望 运行 速度 流畅 外观 很漂亮 支持 国货 
收到货了之后立刻打开 颜值很高的手机 用起来也特别流畅  后续再来追评,5,4,收到 货 之后 立刻 打开 颜值 高 手机 起来 特别 流畅 后续 再来 追评 
很不错的一款手机，轻薄，拿起来完全无压力。用手机久了也不会手疼。电池掉的稍微有一点快，但是也可以撑个近一天，还可以接受。京东的物流非常的快，精准达很贴心。性价比还可以的。,5,4,不错 一款 手机 轻薄 起来 完全 压力 手机 久 不会 手疼 电池 掉 稍微 一点 快 撑个 近 一天 接受 京东 物流 非常 快 精准 达 贴心 性价比 
发货迅速，已经收到用了好几天再来评价。外观漂亮惊艳，音质好，拍照效果特别好，和以前机子相比有很大提升，运行速度也是飞快。唯一不足，感觉耗电有点快，不过配的33W充电器充电很快，一会儿就充好电，弥补了这个不足，总体来说非常满意！,5,4,发货 迅速 已经 收到 几天 评价 外观 漂亮 惊艳 音质 拍照 效果 特别 以前 机子 相比 很大 提升 运行 速度 飞快 唯一 不足 感觉 耗电 有点 快 配 充电器 充电 很快 一会儿 充好 电 弥补 不足 总体 非常 满意 
首先说下外观，x60外观很有质感，而且非常好看，背面接触不留指纹，机子也很薄，做工精细，系统运行也很不错，总之非常满意,5,4,说 外观 外观 质感 非常 好看 背面 接触 不留 指纹 机子 薄 做工 精细 系统 运行 不错 非常 满意 
昨天晚上下单，上午就收到了，非常满意！X60颜值很高，上手很舒服，操作系统很流畅。,5,4,昨天晚上 下单 上午 收到 非常 满意 颜值 高上 手 舒服 操作系统 流畅 
外形外观：外观漂亮屏幕音效：音质特别好拍照效果：清晰度蛮高的运行速度：可以待机时间：可以其他特色：很好的一部手机，一直都在用vivo手机，客服推荐x60，本人不怎么游戏，喜欢拍照，所以选择这一款最合适不过了，特别喜欢女孩子选择华彩颜色真的美到爆炸，总体来说还是蛮好的，一直支持国产手机。希望别让我失望，今天刚到的看到追过吧哥哥广告都是x60,5,4,外形 外观 外观 漂亮 屏幕 音效 音质 特别 拍照 效果 清晰度 蛮高 运行 速度 待机时间 特色 一部 手机 一直 手机 客服 推荐 不怎么 游戏 喜欢 拍照 选择 一款 最合适 特别 喜欢 女孩子 选择 华彩 颜色 真的 美到 爆炸 总体 蛮 一直 支持 国产手机 希望 失望 今天 刚到 看到 追过 哥哥 广告 
在我刚看到vivo X60手机的时候，我就被它的外观颜值所吸引住了。vivo X60手机采用了缎面AG工艺后盖设计，不但让手机看上去更显精美大气，而且还让你触摸手感更加细腻光滑。并且，vivo X60手机还采用了轻薄机身设计，能够为你提升持握舒适度，让你单手抓握更加轻松不费力。除了轻薄外，vivo X60 还有很多设计方面的亮点。配色方面，这款手机带来原力、微光、华彩三款配色，每个配色的灵感都来源于自然，非常耐看。其中，微光及华彩配色采用创新的缎面 AG 工艺，不仅带来绸缎般顺滑、细腻，在视觉上也更加高级，几乎完全不沾指纹。,5,4,刚 看到 手机 外观 颜值 吸引住 手机 采用 缎面 工艺 后盖 设计 手机 看上去 更显 精美 大气 触摸 手感 更加 细腻 光滑 手机 采用 轻薄 机身 设计 能够 提升 持握 舒适度 单手 抓握 更加 轻松 费力 轻薄 外 很多 设计 方面 亮点 配色 方面 款 手机 带来 原力 微光 华彩 三款 配色 每个 配色 灵感 来源于 自然 非常 耐看 微光 华彩 配色 采用 创新 缎面 工艺 带来 绸缎 般 顺滑 细腻 视觉 更加 高级 几乎 完全 沾 指纹 
