Anyone can do that.	任何人都可以甘做。 
The talks will last three days.	会谈将持续三日。 
Please don't tell your parents this.	请唔好话你父母尼件事。 
Dog is man's best friend.	狗系人类最好的朋友。 
We'll begin work soon.	我地好快就要开始做野。 
In a way you are right, but I still have doubts.	系某种程度上你系啱的，但我仍有疑虑。 
I wrote this book.	我写左尼本书。 
He told the students to be quiet.	佢叫学生们安静。 
Didn't you lock up your car?	你冇锁好车吗？ 
What is the name of this river?	尼条河叫咩名呀？ 
She had died before I arrived.	系我到达之前，佢已经过左身。 
Take good care of yourself.	比心机照顾自己。 
My underpants are wet.	我条底裤湿晒。 
I don't need you or anybody else.	我唔需要你或者任何人。 
He knows who they are.	佢知佢系边个。 
Tom can't afford this.	汤姆买唔起尼个。 
Tom didn't want to disappoint Mary.	阿Tom唔想比阿Mary失望。 
It was very kind of you to lend me an umbrella.	你把遮比我真系好。 
He put on the red jacket.	佢着上红色飞机恤。 
He offered his help to us.	佢投怀向我地讲吓野啦！帮助。 
The moon is the earth's only satellite.	月光系地球上唯卫星。 
April showers bring May flowers.	四月的过云雨带黎五月的花朵。 
I went to sleep about 10 o'clock.	我大约十分钟就训着左。 
I went to a park this morning.	今日朝早我去左个公园。 
What's your name?	你个名？ 
Are you afraid of Tom?	你惊阿Tom吗？ 
We have less than five minutes to evacuate the whole building.	我地得唔到五分钟时间疏散成栋大楼。 
She has a real knack for getting people to do what she wants.	佢有比的人做佢想做的事的诀窍。 
Talking during a concert is rude.	系音乐会上讲野系冇礼貌的。 
You can hold my hand.	你可唔可以揸住我手。 
He will arrive in Paris tomorrow.	佢听日就到巴黎。 
This conference is very important. Don't miss it.	今次会议非常重要。 唔好错过。 
Her success made her the target of jealousy.	佢成功令佢成为妒忌的对象。 
He plays the guitar very well.	佢结他弹得好好。 
I am disgusted with him.	我憎佢。 
It is a pity that you cannot come to the party.	好可惜你唔离参加聚会。 
You should quit smoking.	你应该戒。 
What is learned in the cradle is carried to the tomb.	系摇篮度学到的野会比带到坟墓度。 
He's eating an apple.	佢系食苹果。 
She is always losing her handkerchief.	佢成日都唔见手巾仔。 
Please return the book by tomorrow.	唔该系听日之前归还尼本书。 
I'm proud of you.	我帮你觉得牙擦。 
She spends her leisure time making dolls.	佢利用闲暇时间制作公仔。 
Many kinds of birds live in Japan.	好多种类的雀生活系日本。 
I wrote a letter to my mother.	我比妈妈写左一封信。 
You and I have the same idea.	你同我的想法系一样的。 
She should have been more careful.	佢应该更加小心的。 
I hope everything goes well.	我希望一切顺利。 
I wish I could talk to you.	我希望可以同你倾。 
I would rather not go there alone.	我宁愿唔一个人去果度。 
You talk too much.	你话太多啦。 
You must keep your eyes open.	你一定要瞠大只眼。 
Nobody tried to help Tom.	有冇人试图帮助阿Tom。 
You two should get married.	你地两个应该结婚啦。 
Tom is probably pretty rich by now.	阿Tom而家可能相当有钱嘞。 
How many does he want?	佢要几多？ 
Thank you for drawing a bird for me.	多谢你为我画左一只雀仔。 
I'm looking for a part-time job.	我系揾份兼职工作。 
I can read German, but I can't speak it.	我可唔可以看懂德文，但我唔会话德文。 
Something must be wrong with the machinery.	一定系机出左问题。 
I want beef, too.	我都要牛肉。 
I'd rather stay than go.	我宁愿留低都不愿走。 
I had a tennis match with him.	我同佢打左一场打网球。 
He's a comedian.	佢系一个喜剧演员。 
India is a developing country.	印度系一个开发中国家。 
He is old enough to drive.	佢已经到揸车的年纪啦。 
I arrived in London.	我到伦敦。 
I saw five men.	我体到五个人。 
I got up early in the morning.	我朝早起得好早。 
I hate chemistry.	我憎化学。 
May I ask you some more questions?	我可唔可以再问你几个问题呀？ 
I don't understand.	我唔明。 
May I say something?	我可以讲的咩呀？ 
What is this?	尼的系咩？ 
I am going to Hawaii next year.	我出年要去夏威夷。 
Don't throw rocks into the river.	唔好去河里掟石。 
I've had enough of your lying.	我受够左你大话。 
We had an early lunch at school.	我地系学校早早甘食左晏。 
The road is too narrow for cars.	尼条路好窄，汽车走唔郁。 
I do not agree with you at all.	我完全唔同意你的观点。 
Are you saying you don't want to go to Tom's party?	你话你唔想去阿Tom的派对吗？ 
Tom knew when Mary would be arriving.	阿Tom唔知阿Mary几时到。 
Pride goes before a fall.	沙尘使败。 
Why did you turn down his offer?	你点解拒绝佢好提议。？ 
Japan is a rich country.	日本系一个富裕的国家。 
I can't stand that noise.	我顶唔顺果的噪音。 
You'd better go.	你最好行啦。 
Turn off the TV.	将电视关掉。 
I don't want to work.	我唔想做野。 
I hope to see you.	我希望可以见到你。 
Tom got a late start this morning.	阿Tom今日朝早起身晏了。 
He is not from Hokkaido.	佢唔系北海道人。 
What subjects are you taking at school?	你系学校学咩D科目啊？ 
Get Tom.	揾阿Tom。 
What is the total amount of money you spent?	你总共花左几多钱？ 
He likes taking care of the garden.	佢钟意打理花园。 
Her red dress made her stand out.	佢红色衫裙令佢显得好出位。 
At last, she solved the problem.	最后，佢解决左尼个问题。 
He made many excuses for being late.	佢为迟到揾左好多借口。 
Will you all be here tomorrow?	你听日都系吗？ 
She gives me a nasty look every time she sees me.	佢次次见到我都恶死能登甘体我一眼。 
Close the door when you leave.	你走的时候，关上门。 
They passed by her house yesterday.	佢地寻日路过佢。 
Excuse me, I'm lost.	对唔住，我荡失左路。 
This is what I can do for you.	尼个系我可唔可以帮你做的。 
We gladly accept your offer.	我地欣然接受你地的报价。 
I want to drink something cold.	我想饮的冻的。 
You look tired.	你好似好攰。 
I'll go shopping tomorrow.	我听日去行街。 
I would like to know her name.	我想知佢个名。 
My father has five siblings.	我阿爸有五个兄弟姊妹。 
She glanced briefly at the newspaper.	佢匆匆体左一眼报纸。 
The parking lot is free of charge.	停车场系免费的。 
I will pick you up around six.	我六点左右去接你。 
We don't have any other choice.	我地冇得拣。 
The sun rose over the horizon.	太阳由地平线升起。 
Do you feel tired?	你觉得攰啊？ 
A green carpet will not go with this blue curtain.	绿色地氊与蓝色窗帘唔衬。 
Maybe you'll succeed.	或者你会成功。 
I feel very sorry for your sister.	我帮你妹觉得好难过。 
That red dress suited her.	果件红色衫裙好啱佢。 
You need a car if you live in the suburbs.	如果你住系郊区，你要一部巴士。 
How come you didn't say anything?	你点咩都冇话？ 
I meet him at the club.	我系俱乐部见过佢。 
Today was fun.	今日好得意。 
I don't know how to go there.	我唔知点去果度。 
Give us two knives and four forks, please.	唔该比我地两把刀同四支叉。 
She made him a new suit.	佢比佢做左一套新衫。 
I want to see your older sister.	我想你家姐。 
Her argument was not based on facts.	佢论点冇事实根据。 
The cost of living has risen.	生活使费上涨啦。 
Don't show your face around here again.	你唔好再系尼度蒲头嘞。 
I want you to stay here until I get back.	我要你留系尼度直我返黎。 
Do you know what I mean?	你知唔知我意思啊？ 
The accident's only survivor was a baby.	事故中唯幸存者系个苏虾仔。 
It's just what I wanted.	尼个正系我想要的。 
How about playing chess tonight?	今晚捉棋点啊？ 
Actions speak louder than words.	行动胜于雄辩。 
Tom is waiting for everyone to leave.	阿Tom系度等大家离开。 
I don't mind hot weather.	我唔介意暑热的天气。 
He is always losing his umbrella.	佢成日都唔见遮。 
My birthday falls on Sunday.	我的生日系星期日。 
He plays baseball every day.	佢日日都打棒球。 
Hokkaido is very far, isn't it?	北海道很远，唔系咩？ 
She's neither rich nor famous.	佢既唔有钱都唔出名。 
I went skiing at Zao last winter.	旧年冬天我去枣滑雪啦。 
Please show me the menu.	唔该比我体下菜单。 
Give it to them.	比佢地。 
I can't stand this heat.	我顶唔顺甘热。 
Does this bus go to the beach?	尼架巴士去海滩啊？ 
Please show me around.	唔该带我周围体体。 
Take as many peaches as you like.	你想罗几多桃子就罗几多。 
I heard the song sung in French.	我听到尼首歌系用法文唱的。 
She's absent because she's sick.	佢缺席，因为佢病左。 
The problem was very difficult.	尼个问题好难。 
I live in this neighborhood.	我就住系尼度附近。 
You're a real friend.	你系一个真正的朋友。 
The robot went out of control.	机械人失控啦。 
If it happened to Tom, it could happen to you.	如果发生系阿Tom身上，都可能会发生系你身上。 
He goes to school on foot.	佢行去返学。 
I just talked to the person in charge.	我刚刚同负责人讲过。 
He's an excellent brain surgeon.	佢系一个优秀的脑外科医生。 
Under no circumstances must you leave the room.	系任何情况下，你都唔可以离开间房。 
Please call me up between seven and eight.	唔该系七点到八点之间打电话比我。 
They became friends in elementary school.	佢地系小学就成左朋友。 
They live across the river.	佢地系河对岸。 
He is alone.	佢独自一人。 
He is always at home on Mondays.	星期一佢成日系屋企。 
Give me some milk, too.	都比我的牛奶。 
He made friends with her in America.	佢系美国同佢交朋友。 
Are you planning to take part in the meeting?	你打算参加会议吗？ 
I'm sure that it'll be fun.	我肯定会好得意的。 
You should pay more attention to his warnings.	你应该注意佢叫。 
His mother looks young for her age.	佢阿妈好似过实际年龄后生。 
It happened at a quarter past eleven.	事情发生系十一点十五分。 
I know that it is highly unlikely that anyone knows me.	我知唔太可能有人识我。 
We kept quiet.	我地保持沉默。 
What's she doing?	佢系度做紧咩啊？ 
This is not a sentence.	唔系一句说话。 
Cover your head when you are in the sun.	当你系阳光下时，遮住你个头。 
She believes that he is innocent.	佢相信佢系无辜的。 
The taxi has arrived.	的士到啦。 
Why did you paint the bench red?	你点解将的凳油成红色？ 
I'd like a window seat, please.	我想要一个靠窗的座位。 
She always gets her own way.	佢成日为所欲为。 
He rushed out of the office.	佢冲出左办公室。 
Lansing is the state capital of Michigan.	兰辛系密执安非洲的首府。 
He has no interest in politics.	佢对政治唔有兴趣。 
What I'm about to say is strictly between you and me.	我要讲的系你我之间的秘密。 
He thanked me for coming.	佢多谢我到的。 
I threw a stone at the bird.	我同果只雀掉左一块石。 
I didn't get along with her.	我同佢相处得唔好。 
We didn't break in.	我地冇破门而入。 
How did you draw this picture?	你系点样画出尼幅画的？ 
That's too bad.	好唔好彩嘞。 
He lives somewhere about here.	佢住系尼度附近的某个地方。 
The deadline is approaching.	截止日期就到了。 
He was caught cheating in the exam.	佢考试茅招比人拉左。 
It is imperative for you to act at once.	你一定要即刻做野。 
I want to see him very much.	我好想佢。 
He likes to cook for his family.	佢钟意为屋企人煮饭。 
I'm currently a teacher at this school.	我而家系尼间学校的老师。 
I was surprised at his strong resemblance to his father.	我好惊讶佢同佢老豆生得甘似。 
Her mother always accompanies her.	佢阿妈成日陪住佢。 
We set a trap to catch a fox.	我地设左个陷阱黎拉狐狸。 
Do I have to stay in the hospital?	我一定要留系医院吗？ 
Eighty percent of all information on computers around the world is in English.	全世界电脑上80%的信息都系英文的。 
She really wants to go.	佢真系好想去。 
Can I speak to the head nurse?	我可唔可以同护士长讲呀？ 
He didn't show up at the party.	佢冇出现系聚会上。 
Please wrap it like a Christmas present.	唔该将佢好似圣诞礼物一样包装起上黎。 
Alcohol consumption is increasing every year.	酒精消费量年年都系增加。 
Monopoly is a popular game for families to play.	大有钱人系一个受家庭欢迎的游戏。 
Don't beat around the bush.	唔好拐弯抹角。 
I have eight brothers and sisters.	我有八个兄弟姊妹。 
Hurry, and you will catch the train.	快的，你会赶上火车的。 
No one voted against it.	冇人投反对票。 
She asked him questions.	佢问左佢一的问题。 
I am quite all right now.	我而家几好的。 
I can play Chopin.	我会弹萧邦。 
He was wounded in the war.	佢系战争中受左伤。 
I don't like the taste of onions.	我唔中意洋葱的味道。 
He cannot afford to buy a car, much less a house.	佢买唔起车，更加唔使讲屋啦。 
Don't hesitate to ask questions.	唔好犹豫问问题。 
Aren't you Tom?	你唔系阿Tom吗？ 
He's stronger than you.	佢比你强壮。 
Your assistance is indispensable for us.	你的帮助，对我黎讲系不可缺少的。 
Why am I still here?	点解我仲系度？ 
Watching TV is a passive activity.	体电视系一种被动的活动。 
What have you come here for?	你黎尼度做咩呀？ 
I want to ask you some questions about Tom.	我想问你的介绍阿Tom的问题。 
Would you pass the salt, please?	唔该将盐比我好吗？ 
There is a television in the room.	间房里面有部电视机。 
Could you please speak a little bit more slowly?	你可唔可以讲慢少少呀？ 
I forgot the date of the meeting.	我唔记得左开会的日期。 
What is love?	乜系爱情？ 
My legs still hurt.	我只脚仲痛。 
Between you and me, I don't like our new team captain.	系你我之间，我唔钟意我地的新队长。 
Are you really going to London to study?	你真系要去伦敦学习啊？ 
He has already had lunch.	佢已经食左晏了。 
I owe him 1,000 dollars.	我争佢1000美元。 
I don't have to clean my room.	我唔使打扫我间房。 
He is not an American.	佢唔系美国人。 
Turn off the gas.	关掉煤气。 
I have met him before.	我以前见过佢。 
It's not that easy to learn a new language after fifty.	五十岁以后学一门新语言唔系甘易。 
It's impossible to get there by noon.	中午之前到达果度系冇可能的。 
The teacher demonstrated the idea with an experiment.	老师用实验证明左尼个想法。 
Everyone noticed.	大家都留意。 
He plays tennis very well.	佢打网球得好好。 
That's good, isn't it?	甘好好，唔系咩？ 
Get me a ticket, please.	唔该比我买张飞。 
You only gave me fifty cents.	你只比我五十毫子。 
That's an interesting idea.	尼个系一个得意的想法。 
I clapped my hands.	我拍左拍手。 
You could've answered that question.	你本可以答尼个问题的。 
What's your marital status?	你个婚礼野点啊？ 
I do not remember seeing the letter, but perhaps I read it.	我唔记得见过果封信，但或者我读过。 
She might know that we are here.	佢可能知道我地系尼度。 
I was ashamed of my behavior.	我为自己的行为觉得羞愧。 
He hasn't answered my letter yet.	佢都冇比我回信。 
This writer is Russian.	尼位作系俄罗斯人。 
The cat got through the hedge.	猫穿过树篱。 
Will it take long to recover?	有需要好长时间啊？ 
I envied his new house.	我羡慕佢新屋。 
When does that start?	几时开始？ 
She doesn't have any enemies.	佢冇任何敌人。 
Winds from the sea are moist.	从海上黎的风系潮湿的。 
Do you have these shoes in my size?	尼对鞋有我晒士吗？
I wish you'd go.	我希望你可以去。 
I will stay until tomorrow.	我一路留到听日。 
I'll prove it to you.	我会证明比你体的。 
He kept his promise and helped his brothers.	佢信守诺言，帮助佢兄弟们。 
Where in Canada are you from?	你黎自加拿大边呀？ 
How about some more roast beef?	再黎的烧牛肉点啊？ 
Have you ever seen Tokyo Tower?	你见过东京铁塔吗？ 
My mother is a good woman.	我阿妈系个好女人。 
I was unable to go to his birthday party.	我冇可以去参加佢生日会。 
Are you planning to help them?	你打算帮助佢地呀？ 
What time will you have breakfast?	你几时食早餐啊？ 
Why me?	点解我？ 
This book is beautifully illustrated.	尼本书插图精美。 
The fox and the bear lived together.	狐狸同熊系埋一齐。 
Do you think I'm crazy?	你觉得我黐左线呀？ 
Read it once more, please.	唔该再读一次。 
It looks like a duck.	佢而家体落似只鸭。 
Are you looking for work?	你系稳工吗？ 
My father walks.	我阿爸行路。 
Hopefully, we'll enjoy our China trip.	希望我地会钟意我地的中国之旅。 
Why don't you go home?	你做咩唔返屋企呀？ 
I'm going to check.	我去查一下。 
Tom's uncle keeps a lot of sheep.	阿Tom的阿叔养左好多羊。 
I'll treat you.	我请你。 
Could you take this, please?	你可唔可以罗住尼个吗？ 
He arrived after I had left.	我走后佢至到。 
I need someone to talk with.	我需要一个可以倾诉的人。 
Skip it.	跳过佢。 
Would you like some salad?	你想要D沙律吗？ 
I sometimes watch TV.	我有时体电视。 
I'm full.	我饱左。 
He is a learned man.	佢系一个有料的人。 
I was very busy last week.	上周我好忙。 
I will wait.	我会等。 
It's too dark to play baseball now.	而家太黑，唔打棒球。 
Children like fruit juice.	仔们钟意果汁。 
She wouldn't let up until I agreed to go to the movies with her.	直到我同意同佢一齐去体电影，佢先松懈落黎。 
He asked me a question.	佢问左我一个问题。 
Tom bought a mobile phone.	汤姆买左一部手机。 
I hope people are satisfied.	希望大家满意。 
My father retired at the age of 65.	我阿爸65岁退休了。 
The poor people were at the mercy of the cruel dictator.	穷人由残暴的独裁者摆布。 
It's clear that there's a rather strong disagreement between the two.	好明显，两者之间有相当大分歧。 
That's no big deal.	甘冇乜大得的。 
What she said did not make sense.	佢话冇道理。 
He is good at playing tennis.	佢擅长打网球。 
I recognized some of the tunes that Tom played.	我听出左阿Tom演奏的一的曲。 
I lived in Japan three years ago.	三年前我系日本。 
Yesterday I spent the whole day working.	寻日我做左成日。 
It's not something anyone can do.	尼个唔系任何人都可以做到的。 
Tom doesn't have a fever.	阿Tom冇发烧。 
Will he pass the examination? "I am afraid not."	佢通过考试啊？ “体怕唔得。” 
I'd like a glass of water, please.	我想要一杯水。 
They fell into the conversation immediately.	佢地即刻开始交谈。 
What did you do last night?	你寻晚做左咩？ 
He knows how to swim.	佢会游水。 
They got married and settled near Boston.	佢地结婚并系波士顿附近定居。 
I've heard that name somewhere before.	我以前系咩地方听过尼个名。 
I'll be in my office from ten tomorrow.	听日十点起我就系办公室。 
Does he go to school on foot or by bicycle?	佢系行返学定踩单车翻学？ 
I haven't started anything yet.	我仲未开始任何野。 
He often takes me for a drive.	佢成日带我去游车河。 
How much money do you have?	你有几多钱？ 
You were at my wedding.	你离我婚礼。 
There is a good chance that gasoline prices will go up.	电油价钱好有可能会上涨。 
My plan is to buy a car.	我个计划系买架车。 
He is a famous baseball player.	佢系一个出名的棒球运动员。 
He told me to wash my face.	佢叫我洗面啝。 
Thank you for your invitation.	多谢你的邀请。 
He went to New York on Monday.	佢星期一去纽约呀。 
Be quiet, or the baby will wake up.	安静的，唔系宝宝会醒的。 
English is easy to learn.	英文好易学。 
I just wish we could leave this horrible place.	我只系希望我地可唔可以离开尼个可怕的地方。 
I have absolute trust in you.	我绝对信任你。 
She couldn't answer the question.	佢唔答尼个问题。 
I sometimes still think about her.	我有时仲会想起佢。 
He has been very busy this week.	尼个礼拜佢一直都好忙。 
Everybody is immune to smallpox nowadays.	而家个个都对天花免疫。 
We should call the police.	我地应该报警。 
Your proposal is worthy of being considered.	你个建议值得考虑。 
She looks unhappy.	佢好似唔开心。 
The taxi picked up two passengers.	的士车左两名乘客。 
I've always wanted to climb Mt. Fuji.	我一直想去行山。 富士。 
They greeted me with a smile.	佢笑笑口甘迎接我。 
My father has a restaurant.	我阿爸有一间餐厅。 
I don't expect anything from you.	我对你冇咩期望。 
He has been to Hokkaido.	佢去左北海道。 
Tom gave me a pen.	阿Tom比左我一支钢笔。 
I go to church every day.	我每日都去教堂。 
She's dieting.	佢系节食。 
He likes watching TV.	佢钟意体电视。 
Tom should've already discussed that with you.	阿Tom应该已经同你倾过啦。 
I've finished reading the book.	我已经读完尼本书。 
Our school's principal is very old.	我地学校校长年纪好大。 
You'll get used to it.	你会习惯的。 
Tom's house has three bedrooms.	阿Tom的屋有三间卧室。 
He's a tall boy.	佢系一个高佬男仔。 
I can't believe you are eating something the doctor has told you repeatedly you shouldn't eat.	我唔敢相信你系食医生反复话比你听唔应该食的野。 
You don't need to work on Sundays.	星期日你唔使做野。 
Don't throw a stone at the dog.	唔好同狗掟石。 
He makes the most of his opportunities.	佢充分利用佢的机会。 
Black suits you.	黑色啱你。 
Give me something to write with.	比我的可以写字的野。 
They must have made a mistake.	佢地一定系摆乌龙啦。 
Would you like to drink anything?	你想饮的咩呀？ 
How much sugar do you use?	你用左几多糖？ 
She showed the visitor her baby.	佢比来访者体下佢个仔。 
You have to be patient.	你要有好有耐性。 
Could I borrow a pencil?	我可唔可以借支铅笔呀？ 
All plants need water and light.	所有的植物都要水同光。 
One of your buttons has come off.	你一粒钮甩左。 
You know too much.	你知太多啦。 
We didn't know what to do next.	我地唔知下一步要做的咩。 
This is not important.	尼唔紧要。 
He died of lung cancer.	佢死于一个肺癌。 
Have you had your eyesight checked recently?	你最近检查过我视线吗？ 
What's the weight of your suitcase?	你公事喼有几重？ 
What happened to you last night?	琴晚你点呀？ 
I don't smoke weed.	我唔食大麻。 
I asked her out on a date.	我约佢出去拍拖。 
I don't know if I'll have time to do it.	我唔知我系有时间做尼件事。 
Excuse me for interrupting you.	对唔住，阻你啦。 
Do you want to be rich?	你想变得有钱吗？ 
It's on the sofa.	系梳化度。 
I knew what Tom was doing.	我知汤姆系度做紧咩。 
I respect the elderly.	我尊重的老人家。 
A bookstore in that location wouldn't make enough money to survive.	果个地方书店赚唔到紧要的钱黎生存。 
I know the problem.	我知道问题所在。 
Where did you see her?	你系边度见过佢？ 
Will you switch seats with me?	你可以同我换个位啊？ 
She has been absent since last Wednesday.	自上周三以黎，佢一直缺席。 
Tom hugged Mary.	阿Tom揽左阿Mary。 
My father made me a delicious lunch.	我老豆比我做左一餐好正的午餐。 
The wind calmed down.	风平静左嘞。 
Be careful not to drive the wrong way on a one-way street.	因住唔好系单行道上开错路。 
A plastic dish will melt on the stove.	胶碟系炉子上会融化。 
It cost him 50 dollars to rent a car in Hawaii.	系夏威夷租车花左佢五十美元。 
You work as hard as he did at your age.	你同佢系你尼个后生果阵一样努力做野。 
The United States is abundant in natural resources.	美国自然资源丰富。 
Please write with a pen.	唔该比墨水笔写字。 
I want Tom to win.	我希望阿Tom赢。 
Many of the immigrants changed their names.	好多移民改左个名。 
French is my mother tongue.	法文系我母语。 
My brother takes care of our dog.	我大佬照顾我地的狗。 
Give some meat to the dog.	比只狗的肉。 
It's a pleasure to have you with us again.	好高兴你再次同我地系埋一齐。 
We generally drink tea after a meal.	我地一般食完饭饮茶。 
I really need a drink now.	我而家真系要饮杯。 
Look at that tall building.	体甘栋高楼。 
He and his sisters are currently living in Tokyo.	佢同佢姊妹们目前系东京。 
I've lost my pen.	我支笔跌左。 
Those are my trousers.	甘我裤。 
Don't be cruel to animals.	唔好对动物阴功。 
Mt. Fuji is Japan's tallest mountain.	富士山系日本最高的山。 
Forewarned is forearmed.	预早警告就系预早武装。 
What prevented you from coming earlier?	系咩阻止都左你早的黎？ 
I have a high fever.	我发高烧啦。 
Our school is near the station.	我地学校系车站附近。 
None of these buses go to Shinjuku.	尼的巴士都唔去新宿。 
I've got things under control.	一切都系我掌控之中。 
It's 3:30.	而家系三点半。 
That child has few friends.	个细路几乎冇朋友。 
Being a good conversationalist does not just mean being a good speaker of English.	成为一个好倾得者不仅仅意味住成为一个好的英语演讲者。 
My parents have gone to the airport to see my uncle off.	我阿爸阿妈去机场比我阿叔送行啦。 
Shortly after the accident, the police came.	事故发生后冇几耐，差佬黎啦。 
Not everything can be bought with money.	唔系所有野都可以得用买到。 
Professional writers do not have a regular income.	职业作家冇入墙收入。 
I saw a strange woman there.	我系果度见到一个生暴的女人。 
You have to speak English here.	你一定要系尼度讲英文。 
What did you major in at college?	你系大学主修咩？ 
Tom probably knew who I was.	阿Tom可能知道我系边个。 
You are her daughters.	你地系个女。 
Stand up.	企起身。 
Classes begin next week.	下个礼拜开始上堂啦。 
I am afraid of death.	我惊死亡。 
Please do not open the windows.	请唔好打开窗。 
Write it down before you forget it.	系你唔记得之前佢写落黎。 
I have not heard from her recently.	我最近冇佢消息。 
Don't open that.	唔好打开个。 
Rice is sold by the kilogram.	大米按公斤出售。 
I know what you did.	我知你做左咩。 
I'd like seats on the first floor.	我想要一楼的座位。 
Please send me a letter.	唔该比我寄封信。 
We go to the same school.	我地上同一间学校。 
I asked for a table over there.	我系果边要左一张枱。 
She stayed in the house all day.	佢成日屈系屋企。 
What time do you leave for school?	你几点启程去翻学？ 
Tom didn't understand what the teacher said.	阿Tom听唔明老师讲的说话。 
What souvenir do you think she would like most?	你话佢最中意咩纪念品？ 
She has an eye for beauty.	佢对靓好有眼光。 
They were carelessly unaware of the danger.	佢地漫不经心甘冇意识到危险。 
Let me know when you need me again.	当你再次要我的时候，等我知。 
I don't want to be friends with you.	我唔想同你做朋友。 
I'm old enough to live by myself.	我已经大到可以一个人生活。 
Does the letter need to be written in English?	尼封信要用英文写啊？ 
I should be happy.	我好开心。 
Rome wasn't built in a day.	罗马唔系一日建成的。 
A little walk will give you a good appetite for breakfast.	散步会比你对早餐胃口大开。 
You should talk directly to Tom.	你应该直接同阿Tom倾。 
Are you able to play organ?	你会弹理风琴吗？
