content,creationTime,nickname,referenceName,content_type
用了一段时间才来评价  体验还是很好的  超值的一款热水器 很适合家庭使用 安装人员素质也很高  收费标准很透明 整体还是很不错的一次购物,2017-10-07 20:41:47,郝***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
用了两个月后才来评价。首先说的是在京东自营店购买电器产品是放心的，之前担心热水器容量大了尺寸大了在原位上安装不下，专门请安装师傅上门查看决定机型，收服务费20元不贵。旧件取下，安装新机只花了30元。,2017-10-12 20:54:51,j***灵,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
自己安装的，还可以,2017-10-16 17:27:00,心***了,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
还没有用过，就是当天安装的时候简单的试了，安装师傅挺有耐心的，也讲解一下使用，还可以，就是遥控的距离短点，不过一般情况用不上，挺信赖京东的,2017-10-18 18:00:14,E***c,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很好，服务态度很好,2017-10-14 18:04:24,j***c,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西不错，做工挺美的，全国联保，附近就有专门的售后，安装师傅很热情，安装费有点高了，208块，减个零头刚好给了200&hellip;&hellip;&hellip;&hellip;跟师傅坎大山，往上推八辈居然是一个祖宗，这师傅也是够够的！,2017-10-14 18:25:10,吹***觉,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
体面的，服务也周到,2017-10-12 16:30:23,糖***e,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
刚刚用了几次不错。,2017-10-12 10:08:19,j***l,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
安装给力，师傅帅哥,2017-10-09 20:49:33,j***w,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
不错，很好的产品。,2017-10-08 12:34:31,j***n,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
外观很大气，很喜欢&hellip;&hellip;,2017-10-01 18:32:35,j***r,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
安装很地道，很满意,2017-10-01 13:41:33,张***k,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
喜欢的不得了，安装才用了管子和他们的产品，一共花了120，价格很划算，安装师傅也不错，安装好后还打扫了卫生，服务真是没话说的，产品也很好,2017-10-01 08:27:15,j***n,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
第二次买大型家电，很好。安装师傅约定时间到。装了材料费133元。可以接受！这款热水器值得，999元买回来！下次买多一个！等减价。哈哈,2017-10-24 11:13:20,j***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
这款美的热水器性价比真的超高，千挑万选选择了它，主要是京东送货快，快递小哥服务态度好，售后响应快，必须十星好评！,2017-10-08 09:16:00,静***见,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
首先京东商城购买送货没的说是非常快的，简直太快，另家人难以置信是网上购买，质量也可以，目前使用还是很稳定的，安装服务也很专业，好评！,2017-10-09 09:52:52,j***y,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
朋友说不错，服务很好，到货很快。晚上他试试看好用吗,2017-10-17 19:51:55,明***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
送货速度很快，第一天下单，约的是第三天送到，送到后约隔天安装，售后态度很好，买其他配件用了206元，质量和价格都可以，整体挺满意的。,2017-09-23 06:39:58,1***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
送货速度快，没有电梯，搬上四楼，太感谢了，热水器还没有安装，后期再追评,2017-10-03 13:56:04,阿***诺,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
忙着装修房子呢 热水器刚装上 邻居看见了也要买！因为我家以前是卖家电的，美的牌子也卖过现在的价格比十年前还便宜很多大品牌值得拥有！,2017-09-29 18:33:15,j***2,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
头一次在京东买大件，美的的服务和产品值得信赖，京东配货送货各方面都很正规。当中虽然有段小插曲，但美的售后第一时间联系解决，谢谢。,2017-10-05 23:14:44,独***败,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
一直信赖京东自营的东西，安装师傅也很好，就是一直追着要好评这个事情很烦人，但是最后说明白了，还没使用怎么给好评？安装上师傅也理解了,2017-09-21 14:21:28,j***1,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
用了几天下来才评论的，首先，感谢安装师傅耐心的安装新热水器，并且给我家人讲解新热水器的使用，其次，热水器足够日常家里一家三口的用水需求了。（ps:1500w的热水器使用普通电源插座就可以了，超过1500w的热水器需要额外使用16A大功率的电源插座）最后，一如既往的信任京东，相信京东，希望能够带来更多更实用便捷的产品介绍给大家,2017-10-04 21:11:35,浅声浅笑,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)   还没有安装，安上再试试了,2017-09-26 17:44:59,大***s,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
第一天买的时候1199，今天看的价格掉价100，有点吃惊，申请了保价，几分钟就退回来了，神速度，机子已经装上，期待使用效果,2017-10-13 16:49:58,j***c,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
送货小哥很准时，售后服务也特别好，过来安装的师父很认真！很满意！,2017-09-24 14:23:39,j***5,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
还不错哟，值得点赞??????????????????????????,2017-10-09 09:34:34,j***b,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
师傅服务很好！！,2017-10-23 12:31:21,O***o,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
送货快，安装工整,2017-10-22 18:44:05,g***3,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
外观高大上，遥控器上的电池不太好装。装水两桶以上哦，很给力 关键是老人家不太会操作。安装元只管装  费用接近100大洋了,2017-10-18 11:15:31,懒***y,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
配送很快等待安装,2017-10-14 15:49:59,j***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东就是好,2017-10-12 19:45:18,哈***1,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很不错，继续支持,2017-10-08 11:51:32,阿***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
适合一家三口用，活动期间性价比高。。。。,2017-10-05 17:16:52,高***奇,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
还没用，应该可以,2017-10-04 15:53:12,母***发,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
已经是购买的第二个了、物流给力配送给力安装服务好,2017-10-12 23:11:02,t***1,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
50升一家三口足够用了，样式也漂亮好看，,2017-09-25 13:46:23,3***9,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
整个家里都是美的的电器，这个热水器自己用了一段时间后面又推荐朋友买了，遥控器控制，很方便，，储水量也大，外观也很满意！,2017-10-11 13:58:33,小***3,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
买了好多天了。一直没有时间装。今天预约安装师傅给装的。安装速度挺快的。使用起来也挺简单。搞特价时候买的才八百多。还挺便宜,2017-09-18 16:17:50,z***0,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
效果很好，就是墙不是承重墙，需要做支架，底下多出两个铁条，不太好看，要是能有更好的安装方法就好了。,2017-09-21 21:12:50,固***器,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西到货速度很快，安装师傅很热心，不过热水器的插口有点大了，插座没那么大还得换个排插???,2017-09-24 20:00:04,j***c,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
给老家买的。不知道他们用的如何。给老家买的。不知道他们用的如何。给老家买的。不知道他们用的如何。给老家买的。不知道他们用的如何。,2017-09-27 08:45:23,电***者,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东商城，网上买家电还是在京东家电买好，正品放心，质量有保障，快递也快，买家电还是选京东的好&hellip;&hellip;&hellip;,2017-10-16 18:03:20,京***店,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
收到货了，很喜欢这款 满满的科技感，才刚使用，有预约功能就是强 这样电源插着不用担心不用热水时无时无刻加热费电了,2017-10-11 10:54:38,j***1,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
宝贝买了很久了，就是最近才安装上去。京东的服务棒棒哒,2017-10-09 09:30:58,荌***悠,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
大品牌，质量可靠，老婆评价高，给新房配置，高端大气，智能控制 ，加热快，安全可靠，国庆节订的，3号就到货，4号安装到位，通过几次老婆使用很喜欢，五星评价,2017-10-08 22:12:22,b***o,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西收到这么久，都忘了去好评，美的大品牌，值得信赖，东西整体来看，个人感觉还不错，没有出现什么问题，值得拥有！,2017-10-19 15:24:01,故***主,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
价格合理，物流很快，售后安装也很规范，总的流程下来很满意，提醒买家注意这款型号的分1500瓦和2100瓦的，也就是说一个10安一个16安的，要注意家里插座是哪种的，按需下单,2017-10-06 14:09:24,1***p,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
给力速度11111111111111111111111111111111111111111,2017-10-08 18:30:17,白***库,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很好的热水器，信赖京东，信赖美的，这里对快递哥的服务态度表示赞赏，一句话总结就是十星好评！,2017-10-09 16:41:09,静***见,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
机器还可以，安装师傅也非常细心，唯一不太好的地方需要自己预约上门安装，而不是主动联系我们安装，预约电话不好打通。,2017-09-23 12:31:47,折***笔,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
在京东购物是一种享受，服务到位，真正做到省钱省力省心，以后需要电器都上京东，会推荐给朋友,2017-10-22 11:39:47,j***y,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
在京东购物是一种享受，服务到位，真正做到省钱省力省心，以后需要电器都上京东，会推荐给朋友,2017-10-21 18:54:12,3***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
不错的机器～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～,2017-10-02 16:31:04,j***a,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
发货时候忘了给发淋浴头，找客服说了给我补发，结果发过来的不是原装的，还是破损的。太不负责啦。以后不会买。差。,2017-10-21 19:07:21,N***J,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很满意，6楼，京东都送货上门！比其他快递贴心的不是一点点，预约安装，安装人员打电话来确认，安装师傅辛苦啦！谢谢！,2017-09-18 05:31:03,哆***儿,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
到货很快，安装师傅很准时，服务态度也很好，很满意,2017-10-15 08:24:27,g***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
还以为60L一家人不够用，用了这段时间，完全没问题。外形也上档次，价位也0K，以前买东西都被老婆骂，这次没有,2017-10-11 15:56:14,j***o,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
不错，价格实惠，服务态度很好，材料费花了100元。,2017-09-18 21:43:44,j***9,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
送货师傅较敬业，下那么大的雨，依然风雨无阻，售后多次打电话确认，负责的很，安装师傅很好，收费也便宜，不错。,2017-10-16 12:07:11,j***7,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东快递给力，隔一天就到了。售后服务人员服务态度很好，五星好评。热水器上带的花洒出水实在太小了。美中不足。,2017-10-09 19:29:27,q***1,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西很不错，非常满意，用起来很舒服，送货也很快，师傅服务态度非常好，下次介绍朋友一起买！,2017-09-21 16:58:27,6***2,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
机器很好，搞活动889买的，有更便宜买的欢迎回复，我买的是60升的，总体来说机器都挺好,2017-10-06 21:51:52,w***i,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器还可以，就是安装师傅不行，我安装费就花了快400块钱，这也让用那也让用什么都让花钱，没有花这么多钱的,2017-09-26 22:08:43,j***o,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
今天中秋节收到的，这是买的第二次了，六年年的还在用，这个是新家用的，中秋送货小哥辛苦了，大品牌，值得信赖！,2017-10-04 18:13:59,关***5,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很不错，物流也很快，安装的师傅服务也很到位，多次电话沟通联系。老公嫌弃60升不够用，可我觉得够了，就两个人,2017-09-22 20:14:58,j***忘,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
服务没的说，头天下午下单，第二天就安装好了，比实体店还快，太棒了，产品还没用，不过看着挺好的，用了再评！,2017-10-09 08:56:45,蓝***后,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
服务满意，京东家电便宜，质量好，送货又特别快，相信京东，我家里使用的都是京东购买的。,2017-10-02 13:13:45,5***2,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
无论买什么，安装都是需要另外收费的，就不能一次性把安装费那些也一起在这里给了吗？毕竟是给家里的老人买的,2017-10-09 14:44:23,b***r,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西已经收到，京东送货就是快，第二天就到了；安装人员也很好，整体都不错。现在就等热水器的使用效果了。,2017-10-22 17:41:18,星***g,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东家电，正品保障！！真的售后无忧！快递也给给力！！！第二天就到了！！！～！！！,2017-10-20 14:27:17,j***o,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
已经装了机，师傅简单试了机，因为要装ppr水管，安装师傅刚好用完，迟点自己再装ppr管试下。再追加评论,2017-10-06 07:34:01,东***I,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东自营多次购买，值得信赖，送货及时，买的放心，好评～～～～～～～～～～～～～～,2017-10-18 21:25:51,j***7,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
买了好几次了，帮同事朋友购买的，主要是价格超级实惠，信赖美的大品牌，会一直支持的。,2017-10-03 08:54:52,3***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
宝贝己收到。安装使用了十多天，效果非常好。京东商城的产品还是有保障，物流很快农村也送货上门了。非常好,2017-10-17 21:36:35,j***d,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
质量不错，现在正在用，比之前用过的热水器好用一些。只要按预约洗浴就很方便不用提前开。用下去再来追加评价,2017-09-30 11:32:47,J***O,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器外型美观加热快，师付认真负责。但安装费真是够高的，由于是轻体墙打了架子，安装费一共花了245元（八角阀自己提供），压力阀处滴水，咨询说都是这样的，影响美观,2017-10-17 19:07:23,j***5,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
家里装修都是选的美的，信赖这个品牌，全家很满意，京东物流和安装都很及时到位，好评！,2017-09-25 22:50:55,jd_186629ida,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东物流真是赞 24小时内到家 热水器还是建议买一级能耗的 我没注意看 失策了 热水器是耗电大户啊,2017-10-22 19:56:19,o***u,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
给顾客用过一段时间才来评价的 顾客说热水器出水效果很好  外形也好看 京东服务也好 总之都是棒棒的,2017-10-11 19:25:37,3***7,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
喜欢还可以，但是这个遥控器也太简陋了，而且装好用了一次，不能用，不知道什么原因,2017-10-09 12:34:27,B***o,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
给父母买的，现货我虽然没有见过，但听父母说很不错。按装的师傅也很好，按装的快，态度又好。满星好评！,2017-10-07 13:19:50,j***p,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
发货快，安排上门安装都快，而且安装师傅人很好，服务周到！！热水器断电保温一日绝对无问题，非常不错！,2017-10-03 23:04:52,j***9,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
大品牌，值得信赖，送货安装师傅很专业，服务态度很好，，安装师傅，全五星好评！,2017-10-17 12:44:50,0***4,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东送货快   商品收到  送上楼了 真心不错  样子美观 杠杠的   好评,2017-10-14 17:21:10,辽***5,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
物品收到了，质量很不错，价格也实惠，送货速度也快，下单的第二天就收到货了，一直信赖京东，五星好评,2017-10-14 16:11:54,5***5,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)用了一段时间，很好,2017-10-12 19:48:07,j***w,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
外表新颖价格美丽，京东服务好，送货安装态度好，速度特别的快，以后还会介绍给别人,2017-09-24 03:25:54,3***9,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
朋友家别墅装修，买了六个，送货，安装，服务都很好，产品质量也没得说，信赖京东,2017-10-09 12:20:05,无***猪,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
产品还不错只是购买的时候不知道温度设定只能是每5℃一档，不能随意调，这样不混水，直接用有点不方便,2017-10-04 17:31:09,j***5,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
送货很快，安装很快。但是安装收费真的让人头疼，不如厂家直接把费用加在产品上，免得安装工人乱收费。,2017-10-03 14:33:28,l***i,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
暂时还算可以。安装了使用了一次，现在等入住了，体验实感，希望不要好像报到其他热水器那样危险！！,2017-10-18 01:01:57,简***风,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
价格比较便宜 还带有遥控器 方便又省事 售后安装都不错 态度极其好  以后有需要会一直支持美的,2017-10-14 01:47:16,j***t,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
整体还不错，物美价廉，样子也特别喜欢，简单干净。服务人员挺好的，安装花了一百多，整体都特别满意！,2017-09-28 06:18:02,j***尾,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很好。就是安装费费太高。一开始要我400多。后面200我的天呀。就2米管子。,2017-09-26 10:15:39,刘***-,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水机非常好，京东的东西值得信奈，不关是安装，售后都不错，一直在京东买东西,2017-10-08 19:45:35,敢***狂,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
安装师傅特别好 上门安装服务到位 脾气也好 活也好 一万个赞 我家比较偏远难找 联系也超级耐心,2017-10-08 22:28:41,k***e,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
太好了 质量没的说 就是安装工人非常的不爽 说是安全问题不给挂 必须花钱才能安装 真是太小人了,2017-10-04 05:50:36,1***p,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
发货速度很快。特别给装修师傅打红心?，没有乱收费，服务态度特别好，设计就耐心设计了半天，点赞,2017-10-19 07:41:47,h***3,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
第一次在京东买热水器，送货速度嗖嗖的。当天送达当天就安装了。材料费是按标准收取的。全家都很喜欢,2017-10-02 22:32:03,唯***美,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的63电热水器，性价比高，遥控的遥控的，经济适用，经济适用，超级实用。。,2017-09-30 13:17:52,3***1,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
收到货后发现摇控器是坏的，联系了售后，真的预想不到当时安排的维修师傅那么差的态度。。。。好无语,2017-09-27 10:32:39,j***a,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
客服服务态度很好，开始不知道怎么样用，调到中保上面了，温度一直在45度后来问了客服才知道搞错了,2017-09-27 21:30:16,j***红,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西很不错 配送员的态度很好 冰箱也很好 非常满意的一次购物 京东值得信赖,2017-09-24 09:21:50,4***0,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
国庆在家给家里买的，送货挺快的，村里也送货上门，送货之后预约安装也挺快的，家里老爸说很好用～,2017-10-13 09:06:12,d***x,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
一次买了两台，性价比很好，就是功率小，一次加热需要40多分钟，慢了一些，不过家庭用已经可以了,2017-10-12 07:03:01,P***2,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
给老家安的热水器不知道好不好用，爸爸说还可以，希望能够耐用一些就可以了。,2017-10-08 10:46:19,j***u,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
电热水器是正品，配货很及时，农村也能送货到家，及时安装，服务态度挺好，试了以后感觉出水量大。,2017-10-06 21:27:21,G***H,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
加热速度稍微慢一点，别的都挺好，售后安装也很方便，需要的东西自己在五金店买的，售后安装没有花钱,2017-09-21 12:37:49,倩子123,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
京东物流就是给力，不一样就是不一样质量非常好，朋友们放心在京东购物，满意,2017-10-03 21:27:51,5***2,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
搞活动的时候买的，速度快，态度非常好，很满意，下次还会来京东买东西的！,2017-10-19 17:13:54,5***0,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器外直径没有我原来的热水器外直径大，同样是60升的，一个牌子，可能保温层比原来的薄了。,2017-10-21 10:40:45,j***0,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很好用的热水器，比我预感的要好，把温度定订好了，把电断开一天，晚上用都还是热水，太方便了，,2017-10-17 10:39:38,h***6,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
连续多天的阴雨天，太阳能已经没有任何作用，还好及时买了热水器，师傅及时上门安装，真不错?,2017-10-16 07:42:19,j***哒,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
服务很周到，帮我搬上楼，还免费给安装好，就是自己买两根软管就OK了～～～,2017-09-28 01:13:18,归***爱,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很好，就是安装费太贵，把机子挂上墙再接两条管+换个十六安面板就收一百六。,2017-09-27 09:00:25,w***u,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
用过啦，感觉还行，加热速度可以，不过进水设计不够好，洗到一半冷水热水一混起来就变冷得很明显,2017-10-13 21:51:24,j***n,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
很满意的一次购物，比在实体店买的合算，到货快，安装及时，安装师傅态度好。,2017-09-28 06:44:10,1***3,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
奔着品牌来的，京东商城记得信赖，售后服务也很方便快捷，顺便还帮朋友买了个,2017-09-23 15:07:15,w***8,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
安装师傅态度很好！真的很满意！,2017-10-06 18:55:20,j***b,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
新房还没有装修完，不能安装。快递小哥服务挺好，说什么时候能安装了就来给安装。装好之后再追加,2017-10-08 12:05:49,j***0,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西很好，装的也漂亮，安装空间很有限，但是安装师傅还是发挥自己聪明才智，巧妙的解决了问题！,2017-10-02 17:32:20,第***文,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
物流很快   服务很到位   机子很漂亮   真的很喜欢！买家电上京东,2017-09-30 20:20:27,3***2,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
今天安装的，还没有用，晚上试试&hellip;&hellip;，666,2017-09-26 21:14:29,5***倩,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
昨天下的单，今天到货了，师傅过来按装态度非常好，美的的售后做的特别好！,2017-09-29 13:07:15,a***颜,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
质量好，产品很给力，送货师傅服务态度好，信赖京东上买家电，很满意，还是货到付款的，赞一个,2017-10-12 10:44:55,j***y,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
美的国内大品牌，质量也有保证，价格比实体店便宜好多，热水器外观设计都很棒，相信京东没错的,2017-10-11 16:25:04,w***7,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器刚安装上，专门有师傅来安装   安装很快，服务也挺到位，还有售后   比较有保障。,2017-10-12 19:29:14,j***3,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
速度快，我买到老家用的，没想到还送到乡下，京东果然服务到家，给赞?,2017-10-09 19:36:03,j***u,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
热水器漏水，还说是正常现象，你们家的热水器也漏水吗？把漏下泡了谁的责任，大家来评评理吧！,2017-10-10 20:01:23,3***5,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
一直用美的，不错不错，烧水速度快，保温时间长，晚上十点关电，第二天晚上用水还是热的，很不错,2017-09-25 13:53:14,精***美,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
东西收到了，物流很准时，就是没有售后服务人员联系安装，要自己找吗？能不能帮忙联系的啊？,2017-10-23 20:46:24,l***c,美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y),pos
